Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2001-01-01,     Variación de Existencias,Corrientes,2443.5,Anual,Real
2001-01-01,Demanda  Externa,Corrientes,60844.0,Anual,Real
2001-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,60844.0,Anual,Real
2001-01-01,OFERTA GLOBAL,Corrientes,182937.3,Anual,Real
2001-01-01,Valor Agregado Bruto,Corrientes,99243.6,Anual,Real
2001-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,15654.0,Anual,Real
2001-01-01,       Explotación de Minas y Canteras,Corrientes,657.0,Anual,Real
2001-01-01,       Industria Manufacturera,Corrientes,22745.0,Anual,Real
2001-01-01,       Construcción,Corrientes,5758.0,Anual,Real
2001-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,15896.0,Anual,Real
2001-01-01,       Otros Servicios,Corrientes,43234.9,Anual,Real
2001-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,4701.3,Anual,Real
2001-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,10315.0,Anual,Real
2001-01-01,Producto Interno Bruto a precios de mercado,Corrientes,109558.6,Anual,Real
2001-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,73378.7,Anual,Real
2001-01-01,DEMANDA GLOBAL ,Corrientes,182937.3,Anual,Real
2001-01-01,Demanda Interna,Corrientes,123093.7,Anual,Real
2001-01-01,    Gastos de Consumo Final,Corrientes,94100.0,Anual,Real
2001-01-01,       Sector Privado,Corrientes,78884.8,Anual,Real
2001-01-01,       Sector Público,Corrientes,15215.2,Anual,Real
2001-01-01,    Inversión Interna Bruta,Corrientes,28993.699999999997,Anual,Real
2001-01-01,      Formación Bruta de Capital Fijo,Corrientes,26660.1,Anual,Real
2001-01-01,       Sector Privado,Corrientes,20671.0,Anual,Real
2001-01-01,       Sector Público,Corrientes,5989.1,Anual,Real
2001-01-01,     Variación de Existencias,Corrientes,2333.6,Anual,Real
2001-01-01,Demanda  Externa,Corrientes,59843.6,Anual,Real
2001-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,59843.6,Anual,Real
2002-01-01,OFERTA GLOBAL,Corrientes,213469.6,Anual,Real
2002-01-01,Valor Agregado Bruto a precios básicos,Corrientes,116985.4,Anual,Real
2002-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,15736.9,Anual,Real
