Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2004-01-01,Cría de Aves de Corral,Corrientes,736.4,Anual,Real
2004-01-01,Silvicultura,Corrientes,1024.4,Anual,Real
2004-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,2086.1,Anual,Real
2005-01-01,PRECIOS CORRIENTES,Corrientes,22915,Anual,Real
2005-01-01,Cultivo de Maíz,Corrientes,1211.1,Anual,Real
2005-01-01,Cultivo de Fríjol,Corrientes,737.2,Anual,Real
2005-01-01,Cultivo de Sorgo,Corrientes,142.5,Anual,Real
2005-01-01,Cultivo de Arroz en Granza,Corrientes,28.2,Anual,Real
2005-01-01,Cultivo de Palma Africana,Corrientes,1223.8,Anual,Real
2005-01-01,Cultivo de Banano,Corrientes,3127.7,Anual,Real
2005-01-01,Cultivo de Café,Corrientes,4575.5,Anual,Real
2005-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,3341.5,Anual,Real
2005-01-01,Cría de Ganado Vacuno,Corrientes,3327.3,Anual,Real
2005-01-01,Actividades de Pesca 2/,Corrientes,660,Anual,Real
2005-01-01,Cría de Otros Animales 3/,Corrientes,224.1,Anual,Real
2005-01-01,Cría de Aves de Corral,Corrientes,962.7,Anual,Real
2005-01-01,Silvicultura,Corrientes,1172.2,Anual,Real
2005-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,2181.2,Anual,Real
2006-01-01,PRECIOS CORRIENTES,Corrientes,24458.7,Anual,Real
2006-01-01,Cultivo de Maíz,Corrientes,1015.7,Anual,Real
2006-01-01,Cultivo de Fríjol,Corrientes,682.3,Anual,Real
2006-01-01,Cultivo de Sorgo,Corrientes,152.3,Anual,Real
2006-01-01,Cultivo de Arroz en Granza,Corrientes,35,Anual,Real
2006-01-01,Cultivo de Palma Africana,Corrientes,1452.5,Anual,Real
2006-01-01,Cultivo de Banano,Corrientes,3079.7,Anual,Real
2006-01-01,Cultivo de Café,Corrientes,5432.7,Anual,Real
2006-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,3567.9,Anual,Real
2006-01-01,Cría de Ganado Vacuno,Corrientes,3423.2,Anual,Real
2006-01-01,Actividades de Pesca 2/,Corrientes,637.8,Anual,Real
2006-01-01,Cría de Otros Animales 3/,Corrientes,238.8,Anual,Real
2006-01-01,Cría de Aves de Corral,Corrientes,862.3,Anual,Real
2006-01-01,Silvicultura,Corrientes,1330,Anual,Real
2006-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,2548.5,Anual,Real
2007-01-01,PRECIOS CORRIENTES,Corrientes,27820.3,Anual,Real
2007-01-01,Cultivo de Maíz,Corrientes,1736,Anual,Real
2007-01-01,Cultivo de Fríjol,Corrientes,959.9,Anual,Real
2007-01-01,Cultivo de Sorgo,Corrientes,172.3,Anual,Real
2007-01-01,Cultivo de Arroz en Granza,Corrientes,85.8,Anual,Real
2007-01-01,Cultivo de Palma Africana,Corrientes,1909.7,Anual,Real
2007-01-01,Cultivo de Banano,Corrientes,3688.5,Anual,Real
2007-01-01,Cultivo de Café,Corrientes,6353.9,Anual,Real
2007-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,4280.8,Anual,Real
2007-01-01,Cría de Ganado Vacuno,Corrientes,3449.8,Anual,Real
2007-01-01,Actividades de Pesca 2/,Corrientes,118.3,Anual,Real
2007-01-01,Cría de Otros Animales 3/,Corrientes,247.8,Anual,Real
2007-01-01,Cría de Aves de Corral,Corrientes,695.6,Anual,Real
2007-01-01,Silvicultura,Corrientes,1463.9,Anual,Real
2007-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,2658.2,Anual,Real
2008-01-01,PRECIOS CORRIENTES,Corrientes,31884.1,Anual,Real
2008-01-01,Cultivo de Maíz,Corrientes,1573.1,Anual,Real
2008-01-01,Cultivo de Fríjol,Corrientes,1617.9,Anual,Real
2008-01-01,Cultivo de Sorgo,Corrientes,204.6,Anual,Real
2008-01-01,Cultivo de Arroz en Granza,Corrientes,127.6,Anual,Real
2008-01-01,Cultivo de Palma Africana,Corrientes,2755.9,Anual,Real
2008-01-01,Cultivo de Banano,Corrientes,5187.4,Anual,Real
2008-01-01,Cultivo de Café,Corrientes,7509.2,Anual,Real
2008-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,4607.8,Anual,Real
2008-01-01,Cría de Ganado Vacuno,Corrientes,3405.3,Anual,Real
2008-01-01,Actividades de Pesca 2/,Corrientes,111.5,Anual,Real
2008-01-01,Cría de Otros Animales 3/,Corrientes,262.6,Anual,Real
2008-01-01,Cría de Aves de Corral,Corrientes,395.8,Anual,Real
2008-01-01,Silvicultura,Corrientes,1561.8,Anual,Real
2008-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,2563.6,Anual,Real
2009-01-01,PRECIOS CORRIENTES,Corrientes,29837.3,Anual,Real
2009-01-01,Cultivo de Maíz,Corrientes,1948.9,Anual,Real
2009-01-01,Cultivo de Fríjol,Corrientes,1054,Anual,Real
2009-01-01,Cultivo de Sorgo,Corrientes,166.6,Anual,Real
2009-01-01,Cultivo de Arroz en Granza,Corrientes,149.1,Anual,Real
2009-01-01,Cultivo de Palma Africana,Corrientes,1574.5,Anual,Real
2009-01-01,Cultivo de Banano,Corrientes,4553,Anual,Real
2009-01-01,Cultivo de Café,Corrientes,6512.4,Anual,Real
2009-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,4960.5,Anual,Real
2009-01-01,Cría de Ganado Vacuno,Corrientes,3114.8,Anual,Real
2009-01-01,Actividades de Pesca 2/,Corrientes,70.9,Anual,Real
2009-01-01,Cría de Otros Animales 3/,Corrientes,295,Anual,Real
2009-01-01,Cría de Aves de Corral,Corrientes,797.7,Anual,Real
2009-01-01,Silvicultura,Corrientes,1503.5,Anual,Real
2009-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,3136.4,Anual,Real
2010-01-01,PRECIOS CORRIENTES,Corrientes,34690.9,Anual,Real
2010-01-01,Cultivo de Maíz,Corrientes,1321.9,Anual,Real
2010-01-01,Cultivo de Fríjol,Corrientes,1120.3,Anual,Real
2010-01-01,Cultivo de Sorgo,Corrientes,163.1,Anual,Real
2010-01-01,Cultivo de Arroz en Granza,Corrientes,164.3,Anual,Real
2010-01-01,Cultivo de Palma Africana,Corrientes,2264.3,Anual,Real
2010-01-01,Cultivo de Banano,Corrientes,4676.2,Anual,Real
2010-01-01,Cultivo de Café,Corrientes,9252,Anual,Real
2010-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,5826.6,Anual,Real
2010-01-01,Cría de Ganado Vacuno,Corrientes,3126.4,Anual,Real
2010-01-01,Actividades de Pesca 2/,Corrientes,882,Anual,Real
2010-01-01,Cría de Otros Animales 3/,Corrientes,310.9,Anual,Real
2010-01-01,Cría de Aves de Corral,Corrientes,894.3,Anual,Real
2010-01-01,Silvicultura,Corrientes,1541.3,Anual,Real
2010-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,3147.2,Anual,Real
2011-01-01,PRECIOS CORRIENTES,Corrientes,47639.8,Anual,Real
2011-01-01,Cultivo de Maíz,Corrientes,2348.7,Anual,Real
2011-01-01,Cultivo de Fríjol,Corrientes,1585.4,Anual,Real
2011-01-01,Cultivo de Sorgo,Corrientes,179.3,Anual,Real
2011-01-01,Cultivo de Arroz en Granza,Corrientes,171.4,Anual,Real
2011-01-01,Cultivo de Palma Africana,Corrientes,4005.1,Anual,Real
2011-01-01,Cultivo de Banano,Corrientes,5667.4,Anual,Real
2011-01-01,Cultivo de Café,Corrientes,17739.2,Anual,Real
2011-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,5074.3,Anual,Real
2011-01-01,Cría de Ganado Vacuno,Corrientes,3332.8,Anual,Real
2011-01-01,Actividades de Pesca 2/,Corrientes,1015.6,Anual,Real
2011-01-01,Cría de Otros Animales 3/,Corrientes,356.3,Anual,Real
2011-01-01,Cría de Aves de Corral,Corrientes,900.3,Anual,Real
2011-01-01,Silvicultura,Corrientes,1623.7,Anual,Real
2011-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,3639.7,Anual,Real
2012-01-01,PRECIOS CORRIENTES,Corrientes,49021.6,Anual,Real
