Concepto,Fechas,Monto
1. BIENES,2002-01-01,75371.4
     EXPORTACIONES DE MERCANCÍAS,2002-01-01,23380.5
     ANTICIPOS POR EXPORTACIONES,2002-01-01,22583.7
     PROCESAMIENTO Y MAQUILADO,2002-01-01,29407.2
2. SERVICIOS,2002-01-01,46591.5
     TRANSPORTE,2002-01-01,1591.6
     SEGUROS (PRIMAS E INDEMNIZACIONES),2002-01-01,150.0
     GASTOS DE VIAJERO,2002-01-01,7629.7
     SERVICIOS DEL GOBIERNO,2002-01-01,11878.0
     OTROS SERVICIOS,2002-01-01,25342.2
          FINANCIEROS,2002-01-01,4367.0
          EMPRESARIALES Y PROFESIONALES,2002-01-01,1021.8
          OTROS,2002-01-01,19953.4
3. RENTA DE LA INVERSIÓN,2002-01-01,3314.3
4. TRANSFERENCIAS,2002-01-01,51302.9
     REMESAS FAMILIARES,2002-01-01,46593.3
     OTRAS,2002-01-01,4709.6
5. MOVIMIENTOS DE CAPITAL,2002-01-01,73417.4
     INVERSIÓN EXTRANJERA,2002-01-01,585.0
          Inversión Directa,2002-01-01,585.0
          Inversión de Cartera,2002-01-01,0.0
     PRÉSTAMOS,2002-01-01,47872.799999999996
           Público,2002-01-01,8000.5
           Privado,2002-01-01,33838.2
           Bancario,2002-01-01,6034.1
    OTRAS ENTRADAS DE CAPITAL,2002-01-01,12005.6
    INVERSIÓN BONOS CADD,2002-01-01,12954.0
    TOTAL INGRESOS,2002-01-01,249997.5
1. BIENES,2002-02-01,71795.20000000001
     EXPORTACIONES DE MERCANCÍAS,2002-02-01,21125.2
     ANTICIPOS POR EXPORTACIONES,2002-02-01,20359.4
     PROCESAMIENTO Y MAQUILADO,2002-02-01,30310.6
2. SERVICIOS,2002-02-01,42860.8
     TRANSPORTE,2002-02-01,1574.0
     SEGUROS (PRIMAS E INDEMNIZACIONES),2002-02-01,311.9
     GASTOS DE VIAJERO,2002-02-01,6431.4
     SERVICIOS DEL GOBIERNO,2002-02-01,11973.1
     OTROS SERVICIOS,2002-02-01,22570.4
          FINANCIEROS,2002-02-01,2967.6
          EMPRESARIALES Y PROFESIONALES,2002-02-01,922.8
          OTROS,2002-02-01,18680.0
3. RENTA DE LA INVERSIÓN,2002-02-01,8453.7
4. TRANSFERENCIAS,2002-02-01,48727.399999999994
     REMESAS FAMILIARES,2002-02-01,45349.2
     OTRAS,2002-02-01,3378.2
5. MOVIMIENTOS DE CAPITAL,2002-02-01,71168.3
     INVERSIÓN EXTRANJERA,2002-02-01,665.1
          Inversión Directa,2002-02-01,665.1
          Inversión de Cartera,2002-02-01,0.0
     PRÉSTAMOS,2002-02-01,49560.5
           Público,2002-02-01,3515.9
           Privado,2002-02-01,43226.1
           Bancario,2002-02-01,2818.5
    OTRAS ENTRADAS DE CAPITAL,2002-02-01,16353.1
    INVERSIÓN BONOS CADD,2002-02-01,4589.6
    TOTAL INGRESOS,2002-02-01,243005.40000000002
1. BIENES,2002-03-01,78152.3
     EXPORTACIONES DE MERCANCÍAS,2002-03-01,22720.1
     ANTICIPOS POR EXPORTACIONES,2002-03-01,24638.0
     PROCESAMIENTO Y MAQUILADO,2002-03-01,30794.2
2. SERVICIOS,2002-03-01,42285.299999999996
     TRANSPORTE,2002-03-01,974.1
     SEGUROS (PRIMAS E INDEMNIZACIONES),2002-03-01,961.9
     GASTOS DE VIAJERO,2002-03-01,6460.8
     SERVICIOS DEL GOBIERNO,2002-03-01,9772.8
     OTROS SERVICIOS,2002-03-01,24115.699999999997
          FINANCIEROS,2002-03-01,3297.4
          EMPRESARIALES Y PROFESIONALES,2002-03-01,841.2
          OTROS,2002-03-01,19977.1
3. RENTA DE LA INVERSIÓN,2002-03-01,5411.2
4. TRANSFERENCIAS,2002-03-01,51091.399999999994
     REMESAS FAMILIARES,2002-03-01,46842.2
     OTRAS,2002-03-01,4249.2
5. MOVIMIENTOS DE CAPITAL,2002-03-01,56072.3
     INVERSIÓN EXTRANJERA,2002-03-01,672.6
          Inversión Directa,2002-03-01,672.6
          Inversión de Cartera,2002-03-01,0.0
     PRÉSTAMOS,2002-03-01,32621.100000000002
           Público,2002-03-01,4256.5
           Privado,2002-03-01,27376.4
