Concepto,Fechas,Monto
EXPORTACIONES,2010-01-01,251120.69316000005
Bienes,2010-01-01,201496.17668000003
Exportación de Mercancias Generales,2010-01-01,45130.617920000004
Procesamiento y Maquilado,2010-01-01,55701.208480000016
Anticipos por Exportación,2010-01-01,100664.35028000003
Reexportaciones,2010-01-01,0.0
Servicios,2010-01-01,49624.516480000006
Transporte,2010-01-01,3411.889890000001
Viajes,2010-01-01,32142.476930000008
Comunicaciones,2010-01-01,1350.5358800000004
Construcción,2010-01-01,5625.230690000002
Seguros - Reaseguros,2010-01-01,637.43829
Servicios Financieros - Comisiones,2010-01-01,571.8328300000002
Servicios de Informática e Información,2010-01-01,453.24758
Regalías y Derechos de Licencia,2010-01-01,13.61
Servicios Empresariales,2010-01-01,1898.7825200000004
Servicios Personales Culturales y Recreativos,2010-01-01,85.71486000000003
Gubernamentales,2010-01-01,3046.578590000001
Comercio,2010-01-01,387.1784200000001
RENTA,2010-01-01,6875.977510000001
Remuneración de Empleados,2010-01-01,940.0155100000002
Retribución de la Inversión,2010-01-01,5935.962
TRANSFERENCIAS CORRIENTES,2010-01-01,167443.35524000003
Donaciones Oficiales,2010-01-01,138.76672000000005
Donaciones Privadas,2010-01-01,12427.995850000003
Remesas Familiares,2010-01-01,154876.59267000004
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2010-01-01,141874.36654000008
Capital Sector Privado,2010-01-01,129735.10408000005
Capital Sector Bancario,2010-01-01,7406.648600000001
Capital Sector Público,2010-01-01,4732.613860000001
DataValue{Union{}}(),2010-01-01,567314.3924500002
EXPORTACIONES,2010-02-01,267295.4842200001
Bienes,2010-02-01,214829.47908000008
Exportación de Mercancias Generales,2010-02-01,49430.995770000016
Procesamiento y Maquilado,2010-02-01,61644.43270000002
Anticipos por Exportación,2010-02-01,103754.05061000002
Reexportaciones,2010-02-01,0.0
Servicios,2010-02-01,52466.005140000016
Transporte,2010-02-01,3149.6291000000006
Viajes,2010-02-01,33993.22430000001
Comunicaciones,2010-02-01,1093.0754200000003
Construcción,2010-02-01,6175.818990000002
Seguros - Reaseguros,2010-02-01,727.5842100000002
Servicios Financieros - Comisiones,2010-02-01,589.7711100000001
Servicios de Informática e Información,2010-02-01,530.3264800000002
Regalías y Derechos de Licencia,2010-02-01,25.733000000000004
Servicios Empresariales,2010-02-01,2222.2408200000004
Servicios Personales Culturales y Recreativos,2010-02-01,124.86222000000002
Gubernamentales,2010-02-01,2795.1622100000004
Comercio,2010-02-01,1038.5772800000002
RENTA,2010-02-01,12500.029190000005
Remuneración de Empleados,2010-02-01,1863.5429800000006
Retribución de la Inversión,2010-02-01,10636.486210000005
TRANSFERENCIAS CORRIENTES,2010-02-01,210308.87074
Donaciones Oficiales,2010-02-01,4456.132110000001
Donaciones Privadas,2010-02-01,17264.608530000005
Remesas Familiares,2010-02-01,188588.1301
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2010-02-01,144270.82636000004
Capital Sector Privado,2010-02-01,129029.66899000003
Capital Sector Bancario,2010-02-01,7216.585900000002
Capital Sector Público,2010-02-01,8024.571470000002
DataValue{Union{}}(),2010-02-01,634375.2105100001
EXPORTACIONES,2010-03-01,295709.60880000005
Bienes,2010-03-01,234824.16276000006
Exportación de Mercancias Generales,2010-03-01,56518.44754000001
Procesamiento y Maquilado,2010-03-01,75630.97778000003
Anticipos por Exportación,2010-03-01,102674.73744000003
Reexportaciones,2010-03-01,0.0
Servicios,2010-03-01,60885.44604000001
Transporte,2010-03-01,3596.4766800000007
Viajes,2010-03-01,37193.55472000001
Comunicaciones,2010-03-01,837.05182
Construcción,2010-03-01,8567.438720000002
Seguros - Reaseguros,2010-03-01,817.7586200000003
Servicios Financieros - Comisiones,2010-03-01,807.7536000000002
Servicios de Informática e Información,2010-03-01,795.8523600000003
Regalías y Derechos de Licencia,2010-03-01,5.911000000000001
Servicios Empresariales,2010-03-01,2559.148620000001
Servicios Personales Culturales y Recreativos,2010-03-01,48.374410000000005
Gubernamentales,2010-03-01,4440.194840000001
Comercio,2010-03-01,1215.9306500000002
RENTA,2010-03-01,18160.038470000007
Remuneración de Empleados,2010-03-01,2263.4734600000006
Retribución de la Inversión,2010-03-01,15896.565010000006
TRANSFERENCIAS CORRIENTES,2010-03-01,264901.2701000001
Donaciones Oficiales,2010-03-01,17065.887650000004
Donaciones Privadas,2010-03-01,16712.929420000004
Remesas Familiares,2010-03-01,231122.4530300001
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2010-03-01,109144.71140000003
Capital Sector Privado,2010-03-01,99505.47212000003
Capital Sector Bancario,2010-03-01,1000.0
Capital Sector Público,2010-03-01,8639.239280000002
DataValue{Union{}}(),2010-03-01,687915.6287700002
EXPORTACIONES,2010-04-01,236284.59964000006
Bienes,2010-04-01,179058.72817000005
Exportación de Mercancias Generales,2010-04-01,60495.35045000003
Procesamiento y Maquilado,2010-04-01,65679.74650000001
Anticipos por Exportación,2010-04-01,52883.63122000001
Reexportaciones,2010-04-01,0.0
Servicios,2010-04-01,57225.87147000001
Transporte,2010-04-01,3382.8639200000007
Viajes,2010-04-01,32880.53742000001
Comunicaciones,2010-04-01,1222.21433
Construcción,2010-04-01,10369.085780000003
Seguros - Reaseguros,2010-04-01,1194.8075900000001
Servicios Financieros - Comisiones,2010-04-01,833.4858400000003
Servicios de Informática e Información,2010-04-01,451.1792500000001
Regalías y Derechos de Licencia,2010-04-01,0.5
Servicios Empresariales,2010-04-01,1531.2307200000005
Servicios Personales Culturales y Recreativos,2010-04-01,40.22577000000001
Gubernamentales,2010-04-01,4193.487890000001
Comercio,2010-04-01,1126.2529600000005
RENTA,2010-04-01,17499.613980000006
Remuneración de Empleados,2010-04-01,1388.5931900000005
Retribución de la Inversión,2010-04-01,16111.020790000006
TRANSFERENCIAS CORRIENTES,2010-04-01,239486.79903000008
Donaciones Oficiales,2010-04-01,7089.422590000001
Donaciones Privadas,2010-04-01,14846.979900000004
Remesas Familiares,2010-04-01,217550.39654000007
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2010-04-01,94102.71182000003
Capital Sector Privado,2010-04-01,77769.28195000002
Capital Sector Bancario,2010-04-01,2349.725
Capital Sector Público,2010-04-01,13983.704870000001
DataValue{Union{}}(),2010-04-01,587373.7244700001
EXPORTACIONES,2010-05-01,237991.7222700001
Bienes,2010-05-01,177891.19520000005
Exportación de Mercancias Generales,2010-05-01,48860.78777000001
Procesamiento y Maquilado,2010-05-01,67005.64858000002
Anticipos por Exportación,2010-05-01,62024.75885000001
Reexportaciones,2010-05-01,0.0
Servicios,2010-05-01,60100.527070000026
Transporte,2010-05-01,3536.278080000001
Viajes,2010-05-01,33588.541420000016
Comunicaciones,2010-05-01,1442.2312900000004
Construcción,2010-05-01,9164.851560000001
Seguros - Reaseguros,2010-05-01,1687.5601600000005
Servicios Financieros - Comisiones,2010-05-01,813.7016400000002
