Concepto,Fechas,Monto
EXPORTACIONES,2019-01-01,538845.7
Bienes,2019-01-01,392515.3
Exportación de Mercancías Generales,2019-01-01,91218.4
Procesamiento y Maquilado,2019-01-01,106790.0
Anticipos por Exportación,2019-01-01,194506.8
Reexportaciones,2019-01-01,0.0
Servicios,2019-01-01,146330.4
Transporte,2019-01-01,15784.5
Viajes,2019-01-01,34152.3
Comunicaciones,2019-01-01,4781.8
Construcción,2019-01-01,23716.2
Seguros - Reaseguros,2019-01-01,6231.8
Financieros,2019-01-01,8319.1
Informática e Información,2019-01-01,545.4
Regalías y Derechos de Licencia (Franquicias),2019-01-01,0.0
Empresariales,2019-01-01,32133.0
Personales Culturales y Recreativos,2019-01-01,643.4
Gubernamentales,2019-01-01,4446.0
Comercio (Ventas Locales de Prod. en Dólares),2019-01-01,15576.9
RENTA,2019-01-01,28615.5
Remuneración de Empleados,2019-01-01,11016.0
Renta de La Inversión,2019-01-01,17599.5
TRANSFERENCIAS CORRIENTES,2019-01-01,411336.5
Donaciones Oficiales,2019-01-01,0.0
Donaciones Privadas,2019-01-01,25310.9
Remesas Familiares,2019-01-01,386025.6
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2019-01-01,110628.9
Capital Sector Privados,2019-01-01,85868.9
Capital Sector Bancario,2019-01-01,18871.5
Capital Sector Público,2019-01-01,5888.5
Total Ingresos,2019-01-01,1.0894265e6
EXPORTACIONES,2019-02-01,494430.5
Bienes,2019-02-01,346213.3
Exportación de Mercancías Generales,2019-02-01,75230.8
Procesamiento y Maquilado,2019-02-01,97858.0
Anticipos por Exportación,2019-02-01,173124.5
Reexportaciones,2019-02-01,0.0
Servicios,2019-02-01,148217.2
Transporte,2019-02-01,11024.6
Viajes,2019-02-01,34728.2
Comunicaciones,2019-02-01,9746.9
Construcción,2019-02-01,22639.1
Seguros - Reaseguros,2019-02-01,6331.3
Financieros,2019-02-01,6220.6
Informática e Información,2019-02-01,902.1
Regalías y Derechos de Licencia (Franquicias),2019-02-01,1.6
Empresariales,2019-02-01,37859.7
Personales Culturales y Recreativos,2019-02-01,544.9
Gubernamentales,2019-02-01,3646.3
Comercio (Ventas Locales de Prod. en Dólares),2019-02-01,14571.8
RENTA,2019-02-01,24694.2
Remuneración de Empleados,2019-02-01,8828.2
Renta de La Inversión,2019-02-01,15865.9
TRANSFERENCIAS CORRIENTES,2019-02-01,404694.6
Donaciones Oficiales,2019-02-01,2863.4
Donaciones Privadas,2019-02-01,25273.8
Remesas Familiares,2019-02-01,376557.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2019-02-01,93919.4
Capital Sector Privados,2019-02-01,59780.9
Capital Sector Bancario,2019-02-01,7876.5
Capital Sector Público,2019-02-01,26261.9
