Concepto,Fechas,Monto
EXPORTACIONES,2004-01-01,143721.0
Bienes,2004-01-01,109544.09999999999
   Exportación de Mercancias Generales,2004-01-01,30477.8
   Procesamiento y Maquilado,2004-01-01,40946.6
   Anticipos por Exportación,2004-01-01,38079.8
   Reexportaciones,2004-01-01,39.9
Servicios,2004-01-01,34176.899999999994
   Transporte,2004-01-01,438.1
   Gastos de Viajero,2004-01-01,5149.9
   Comunicaciones,2004-01-01,0.0
   Servicios de Construcción e Ingeniería,2004-01-01,0.0
   Seguros - Reaseguros,2004-01-01,144.2
   Servicios Financieros - Comisiones,2004-01-01,9499.9
   Servicios de Informática e Información,2004-01-01,0.0
   Regalías y Derechos de Licencia,2004-01-01,0.0
   Servicios Empresariales,2004-01-01,16422.3
   Servicios Personales Culturales y Recreativos,2004-01-01,0.0
   Transacciones Oficiales,2004-01-01,2522.5
RENTA,2004-01-01,4843.1
   Remuneración de Empleados,2004-01-01,0.0
   Retribución de la Inversión,2004-01-01,4843.1
TRANSFERENCIAS CORRIENTES,2004-01-01,66826.5
   Donaciones Oficiales,2004-01-01,805.5
   Donaciones Privadas,2004-01-01,4819.3
   Remesas Familiares,2004-01-01,61201.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2004-01-01,88777.2
   Capital Sector Privado,2004-01-01,71696.4
   Capital Sector Bancario,2004-01-01,13391.6
   Capital Sector Público,2004-01-01,3689.2
TOTAL INGRESOS,2004-01-01,304167.80000000005
EXPORTACIONES,2004-02-01,140347.1
Bienes,2004-02-01,112285.40000000001
   Exportación de Mercancias Generales,2004-02-01,29118.5
   Procesamiento y Maquilado,2004-02-01,43023.1
   Anticipos por Exportación,2004-02-01,40143.8
   Reexportaciones,2004-02-01,0.0
Servicios,2004-02-01,28061.7
   Transporte,2004-02-01,406.4
   Gastos de Viajero,2004-02-01,5647.3
   Comunicaciones,2004-02-01,0.0
   Servicios de Construcción e Ingeniería,2004-02-01,0.0
   Seguros - Reaseguros,2004-02-01,86.6
   Servicios Financieros - Comisiones,2004-02-01,5466.2
   Servicios de Informática e Información,2004-02-01,0.0
   Regalías y Derechos de Licencia,2004-02-01,0.0
   Servicios Empresariales,2004-02-01,14036.7
   Servicios Personales Culturales y Recreativos,2004-02-01,0.0
   Transacciones Oficiales,2004-02-01,2418.5
RENTA,2004-02-01,7975.7
   Remuneración de Empleados,2004-02-01,0.0
   Retribución de la Inversión,2004-02-01,7975.7
TRANSFERENCIAS CORRIENTES,2004-02-01,88334.7
   Donaciones Oficiales,2004-02-01,13933.9
   Donaciones Privadas,2004-02-01,5780.1
