Concepto,Fechas,Monto
EXPORTACIONES,2020-01-01,553306.9
Bienes,2020-01-01,405485.9
Exportación de Mercancías Generales,2020-01-01,91543.4
Procesamiento y Maquilado,2020-01-01,113911.6
Anticipos por Exportación,2020-01-01,200030.9
Reexportaciones,2020-01-01,0.0
Servicios,2020-01-01,147821.0
Transporte,2020-01-01,14770.6
Viajes,2020-01-01,35631.0
Comunicaciones,2020-01-01,4617.2
Construcción,2020-01-01,12380.2
Seguros - Reaseguros,2020-01-01,7635.7
Financieros,2020-01-01,6292.3
Informática e Información,2020-01-01,966.1
Regalías y Derechos de Licencia (Franquicias),2020-01-01,0.0
Empresariales,2020-01-01,51889.5
Personales Culturales y Recreativos,2020-01-01,645.8
Gubernamentales,2020-01-01,5090.3
Comercio (Ventas Locales de Prod. en Dólares),2020-01-01,7902.3
RENTA,2020-01-01,31248.4
Remuneración de Empleados,2020-01-01,11402.1
Renta de La Inversión,2020-01-01,19846.2
TRANSFERENCIAS CORRIENTES,2020-01-01,443901.6
Donaciones Oficiales,2020-01-01,1302.7
Donaciones Privadas,2020-01-01,22133.5
Remesas Familiares,2020-01-01,420465.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2020-01-01,140534.9
Capital Sector Privados,2020-01-01,42164.2
Capital Sector Bancario,2020-01-01,34376.5
Capital Sector Público,2020-01-01,63994.3
Total Ingresos,2020-01-01,1.1689919e6
EXPORTACIONES,2020-02-01,521672.1
Bienes,2020-02-01,371619.7
Exportación de Mercancías Generales,2020-02-01,96778.9
Procesamiento y Maquilado,2020-02-01,110659.6
Anticipos por Exportación,2020-02-01,164181.2
Reexportaciones,2020-02-01,0.0
Servicios,2020-02-01,150052.4
Transporte,2020-02-01,12572.3
Viajes,2020-02-01,33154.6
Comunicaciones,2020-02-01,4028.0
Construcción,2020-02-01,15300.4
Seguros - Reaseguros,2020-02-01,8504.8
Financieros,2020-02-01,9544.1
Informática e Información,2020-02-01,800.2
Regalías y Derechos de Licencia (Franquicias),2020-02-01,0.0
Empresariales,2020-02-01,46042.7
Personales Culturales y Recreativos,2020-02-01,560.5
Gubernamentales,2020-02-01,12646.3
Comercio (Ventas Locales de Prod. en Dólares),2020-02-01,6898.4
RENTA,2020-02-01,36403.0
Remuneración de Empleados,2020-02-01,14033.7
Renta de La Inversión,2020-02-01,22369.3
TRANSFERENCIAS CORRIENTES,2020-02-01,455217.7
Donaciones Oficiales,2020-02-01,137.1
Donaciones Privadas,2020-02-01,23714.3
Remesas Familiares,2020-02-01,431366.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2020-02-01,47127.4
Capital Sector Privados,2020-02-01,23737.1
Capital Sector Bancario,2020-02-01,8368.0
Capital Sector Público,2020-02-01,15022.3
Total Ingresos,2020-02-01,1.0604201e6
EXPORTACIONES,2020-03-01,428234.9
Bienes,2020-03-01,302498.3
Exportación de Mercancías Generales,2020-03-01,80712.8
Procesamiento y Maquilado,2020-03-01,99968.0
Anticipos por Exportación,2020-03-01,121816.6
Reexportaciones,2020-03-01,0.9
Servicios,2020-03-01,125736.6
Transporte,2020-03-01,11166.1
Viajes,2020-03-01,29757.9
Comunicaciones,2020-03-01,1699.5
Construcción,2020-03-01,9854.8
Seguros - Reaseguros,2020-03-01,4647.7
Financieros,2020-03-01,13302.3
Informática e Información,2020-03-01,519.6
Regalías y Derechos de Licencia (Franquicias),2020-03-01,0.0
Empresariales,2020-03-01,43143.6
Personales Culturales y Recreativos,2020-03-01,480.0
Gubernamentales,2020-03-01,6301.6
Comercio (Ventas Locales de Prod. en Dólares),2020-03-01,4863.7
RENTA,2020-03-01,35851.3
Remuneración de Empleados,2020-03-01,13729.3
Renta de La Inversión,2020-03-01,22122.0
TRANSFERENCIAS CORRIENTES,2020-03-01,391903.7
Donaciones Oficiales,2020-03-01,138.9
Donaciones Privadas,2020-03-01,22469.4
Remesas Familiares,2020-03-01,369295.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2020-03-01,180262.8
Capital Sector Privados,2020-03-01,19323.8
Capital Sector Bancario,2020-03-01,8026.3
Capital Sector Público,2020-03-01,152912.8
Total Ingresos,2020-03-01,1.036253e6
