Concepto,Fechas,Monto
EXPORTACIONES,2003-01-01,129255.2
Bienes,2003-01-01,96175.9
   Exportación de Mercancias Generales,2003-01-01,24410.2
   Procesamiento y Maquilado,2003-01-01,37703.0
   Anticipos por Exportación,2003-01-01,34062.7
   Reexportaciones,2003-01-01,0.0
Servicios,2003-01-01,33079.3
   Transporte,2003-01-01,586.9
   Gastos de Viajero,2003-01-01,6082.6
   Comunicaciones,2003-01-01,0.0
   Servicios de Construcción e Ingeniería,2003-01-01,0.0
   Seguros - Reaseguros,2003-01-01,357.4
   Servicios Financieros - Comisiones,2003-01-01,3678.3
   Servicios de Informática e Información,2003-01-01,0.0
   Regalías y Derechos de Licencia,2003-01-01,0.0
   Servicios Empresariales,2003-01-01,16853.6
   Servicios Personales Culturales y Recreativos,2003-01-01,0.0
   Transacciones Oficiales,2003-01-01,5520.5
RENTA,2003-01-01,1885.2
   Remuneración de Empleados,2003-01-01,0.0
   Retribución de la Inversión,2003-01-01,1885.2
TRANSFERENCIAS CORRIENTES,2003-01-01,56382.0
   Donaciones Oficiales,2003-01-01,17.5
   Donaciones Privadas,2003-01-01,4661.7
   Remesas Familiares,2003-01-01,51702.8
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2003-01-01,75934.0
   Capital Sector Privado,2003-01-01,66487.4
   Capital Sector Bancario,2003-01-01,4935.6
   Capital Sector Público,2003-01-01,4511.0
TOTAL INGRESOS,2003-01-01,263456.4
EXPORTACIONES,2003-02-01,125691.6
Bienes,2003-02-01,88807.20000000001
   Exportación de Mercancias Generales,2003-02-01,20688.9
   Procesamiento y Maquilado,2003-02-01,37591.8
   Anticipos por Exportación,2003-02-01,30526.5
   Reexportaciones,2003-02-01,0.0
Servicios,2003-02-01,36884.4
   Transporte,2003-02-01,581.0
   Gastos de Viajero,2003-02-01,5877.9
   Comunicaciones,2003-02-01,0.0
   Servicios de Construcción e Ingeniería,2003-02-01,0.0
   Seguros - Reaseguros,2003-02-01,729.1
   Servicios Financieros - Comisiones,2003-02-01,5625.2
   Servicios de Informática e Información,2003-02-01,0.0
   Regalías y Derechos de Licencia,2003-02-01,0.0
   Servicios Empresariales,2003-02-01,16967.5
   Servicios Personales Culturales y Recreativos,2003-02-01,0.0
   Transacciones Oficiales,2003-02-01,7103.7
RENTA,2003-02-01,4518.7
   Remuneración de Empleados,2003-02-01,0.0
   Retribución de la Inversión,2003-02-01,4518.7
TRANSFERENCIAS CORRIENTES,2003-02-01,60340.7
   Donaciones Oficiales,2003-02-01,8.6
   Donaciones Privadas,2003-02-01,5125.6
   Remesas Familiares,2003-02-01,55206.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2003-02-01,74034.5
   Capital Sector Privado,2003-02-01,62938.5
   Capital Sector Bancario,2003-02-01,7366.0
   Capital Sector Público,2003-02-01,3730.0
TOTAL INGRESOS,2003-02-01,264585.5
EXPORTACIONES,2003-03-01,150971.3
Bienes,2003-03-01,94786.1
   Exportación de Mercancias Generales,2003-03-01,24755.9
   Procesamiento y Maquilado,2003-03-01,40122.9
   Anticipos por Exportación,2003-03-01,29907.3
   Reexportaciones,2003-03-01,0.0
Servicios,2003-03-01,56185.2
   Transporte,2003-03-01,440.0
   Gastos de Viajero,2003-03-01,6694.7
   Comunicaciones,2003-03-01,0.0
   Servicios de Construcción e Ingeniería,2003-03-01,0.0
   Seguros - Reaseguros,2003-03-01,569.6
   Servicios Financieros - Comisiones,2003-03-01,6438.7
   Servicios de Informática e Información,2003-03-01,0.0
   Regalías y Derechos de Licencia,2003-03-01,0.0
   Servicios Empresariales,2003-03-01,19052.9
   Servicios Personales Culturales y Recreativos,2003-03-01,0.0
   Transacciones Oficiales,2003-03-01,22989.3
RENTA,2003-03-01,12034.2
   Remuneración de Empleados,2003-03-01,0.0
