Concepto,Fechas,Monto
EXPORTACIONES,2013-01-01,428974.3676500001
Bienes,2013-01-01,345156.55185000005
Exportación de Mercancias Generales,2013-01-01,97982.90573000001
Procesamiento y Maquilado,2013-01-01,72207.57501000002
Anticipos por Exportación,2013-01-01,174966.07111000002
Reexportaciones,2013-01-01,0.0
Servicios,2013-01-01,83817.81580000003
Transporte,2013-01-01,4232.494600000001
Viajes,2013-01-01,41477.56626000001
Comunicaciones,2013-01-01,3358.7929100000006
Construcción,2013-01-01,8668.340320000001
Seguros - Reaseguros,2013-01-01,481.1598500000002
Servicios Financieros - Comisiones,2013-01-01,1423.4125900000004
Servicios de Informática e Información,2013-01-01,1055.4884200000004
Regalías y Derechos de Licencia,2013-01-01,6.030000000000001
Servicios Empresariales,2013-01-01,12618.169500000005
Servicios Personales Culturales y Recreativos,2013-01-01,321.3059800000001
Gubernamentales,2013-01-01,4780.597280000002
Comercio,2013-01-01,5394.458090000002
RENTA,2013-01-01,9984.961540000004
Remuneración de Empleados,2013-01-01,881.8602700000004
Retribución de la Inversión,2013-01-01,9103.101270000003
TRANSFERENCIAS CORRIENTES,2013-01-01,240659.4199
Donaciones Oficiales,2013-01-01,1.0
Donaciones Privadas,2013-01-01,17161.252900000003
Remesas Familiares,2013-01-01,223497.16700000002
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2013-01-01,165629.07141
Capital Sector Privado,2013-01-01,123921.96674000002
Capital Sector Bancario,2013-01-01,16663.149490000003
Capital Sector Público,2013-01-01,25043.95518
DataValue{Union{}}(),2013-01-01,845247.8205000001
EXPORTACIONES,2013-02-01,368707.4341600001
Bienes,2013-02-01,290114.6773000001
Exportación de Mercancias Generales,2013-02-01,81883.58215000003
Procesamiento y Maquilado,2013-02-01,74817.09045
Anticipos por Exportación,2013-02-01,133414.00470000002
Reexportaciones,2013-02-01,0.0
Servicios,2013-02-01,78592.75686000001
Transporte,2013-02-01,3849.427310000001
Viajes,2013-02-01,38454.52710000001
Comunicaciones,2013-02-01,4591.413390000001
Construcción,2013-02-01,5525.697210000002
Seguros - Reaseguros,2013-02-01,328.84820000000013
Servicios Financieros - Comisiones,2013-02-01,1278.2614700000001
Servicios de Informática e Información,2013-02-01,842.6251600000002
Regalías y Derechos de Licencia,2013-02-01,3.5
Servicios Empresariales,2013-02-01,11200.909440000003
Servicios Personales Culturales y Recreativos,2013-02-01,427.0147700000001
Gubernamentales,2013-02-01,7889.6160100000025
Comercio,2013-02-01,4200.916800000001
RENTA,2013-02-01,10473.518580000002
Remuneración de Empleados,2013-02-01,912.8270600000002
Retribución de la Inversión,2013-02-01,9560.691520000002
TRANSFERENCIAS CORRIENTES,2013-02-01,243390.89880000008
Donaciones Oficiales,2013-02-01,181.20600000000005
Donaciones Privadas,2013-02-01,18787.809320000008
Remesas Familiares,2013-02-01,224421.88348000008
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2013-02-01,125275.25095000003
Capital Sector Privado,2013-02-01,87489.64913000002
Capital Sector Bancario,2013-02-01,16121.589620000002
Capital Sector Público,2013-02-01,21664.01220000001
DataValue{Union{}}(),2013-02-01,747847.1024900002
EXPORTACIONES,2013-03-01,328807.9757200001
Bienes,2013-03-01,248190.12411000006
Exportación de Mercancias Generales,2013-03-01,82786.58914000003
Procesamiento y Maquilado,2013-03-01,82736.10521000004
Anticipos por Exportación,2013-03-01,82640.13758000001
Reexportaciones,2013-03-01,27.292180000000002
Servicios,2013-03-01,80617.85161000003
Transporte,2013-03-01,4667.059760000001
Viajes,2013-03-01,41165.51316000001
Comunicaciones,2013-03-01,2779.2514200000005
Construcción,2013-03-01,9182.074760000003
Seguros - Reaseguros,2013-03-01,1121.11462
Servicios Financieros - Comisiones,2013-03-01,875.0074900000002
Servicios de Informática e Información,2013-03-01,550.3107300000001
Regalías y Derechos de Licencia,2013-03-01,0.0
Servicios Empresariales,2013-03-01,10812.322240000003
Servicios Personales Culturales y Recreativos,2013-03-01,204.70270000000008
Gubernamentales,2013-03-01,4128.189000000001
Comercio,2013-03-01,5132.305730000002
RENTA,2013-03-01,49644.26260000002
Remuneración de Empleados,2013-03-01,881.6289600000002
Retribución de la Inversión,2013-03-01,48762.633640000015
TRANSFERENCIAS CORRIENTES,2013-03-01,258882.82129000005
Donaciones Oficiales,2013-03-01,614.8340000000001
Donaciones Privadas,2013-03-01,16748.051780000005
Remesas Familiares,2013-03-01,241519.93551000004
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2013-03-01,635464.2373300003
Capital Sector Privado,2013-03-01,65732.14753000002
Capital Sector Bancario,2013-03-01,12908.262620000001
Capital Sector Público,2013-03-01,556823.8271800003
DataValue{Union{}}(),2013-03-01,1.2727992969400003e6
EXPORTACIONES,2013-04-01,355796.4614600001
Bienes,2013-04-01,266786.9560100001
Exportación de Mercancias Generales,2013-04-01,89560.45655000003
Procesamiento y Maquilado,2013-04-01,85253.43952000004
Anticipos por Exportación,2013-04-01,91853.12994000003
Reexportaciones,2013-04-01,119.93
Servicios,2013-04-01,89009.50545000001
Transporte,2013-04-01,5088.937820000001
Viajes,2013-04-01,45557.78458000001
Comunicaciones,2013-04-01,4226.945320000001
Construcción,2013-04-01,7397.559420000002
Seguros - Reaseguros,2013-04-01,766.8862700000003
