Concepto,Fechas,Monto
EXPORTACIONES,2022-01-01,735657.1
Bienes,2022-01-01,595909.0
Exportación de Mercancías Generales,2022-01-01,192465.8
Procesamiento y Maquilado,2022-01-01,122677.0
Anticipos por Exportación,2022-01-01,280766.2
Servicios,2022-01-01,139748.1
Transporte,2022-01-01,12388.2
Viajes,2022-01-01,31135.2
Comunicaciones,2022-01-01,8560.3
Construcción,2022-01-01,16556.7
Seguros - Reaseguros,2022-01-01,12000.8
Financieros,2022-01-01,12202.5
Informática e Información,2022-01-01,1107.1
Regalías y Derechos de Licencia (Franquicias),2022-01-01,1.1
Empresariales,2022-01-01,28904.6
Personales Culturales y Recreativos,2022-01-01,572.0
Gubernamentales,2022-01-01,6970.3
Comercio (Ventas Locales de Prod. en Dólares),2022-01-01,9349.3
RENTA,2022-01-01,35426.4
Remuneración de Empleados,2022-01-01,27586.7
Renta de La Inversión,2022-01-01,7839.7
TRANSFERENCIAS CORRIENTES,2022-01-01,612793.7
Donaciones Oficiales,2022-01-01,577.3
Donaciones Privadas,2022-01-01,26925.5
Remesas Familiares,2022-01-01,585290.8
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2022-01-01,55607.3
Capital Sector Privados,2022-01-01,38859.6
Capital Sector Bancario,2022-01-01,4517.2
Capital Sector Público,2022-01-01,12230.4
Total Ingresos,2022-01-01,1.4394843e6
