Concepto,Fechas,Monto
EXPORTACIONES,2008-01-01,269802.3599300001
Bienes,2008-01-01,204309.65744000004
Exportación de Mercancias Generales,2008-01-01,39642.17536000001
Procesamiento y Maquilado,2008-01-01,70838.08692000002
Anticipos por Exportación,2008-01-01,93829.39516000001
Reexportaciones,2008-01-01,0.0
Servicios,2008-01-01,65492.802490000024
Transporte,2008-01-01,3930.881260000001
Gastos de Viajero,2008-01-01,37704.9
Comunicaciones,2008-01-01,3552.809760000001
Servicios de Construcción e Ingeniería,2008-01-01,6628.095550000003
Seguros - Reaseguros,2008-01-01,134.52148000000003
Servicios Financieros - Comisiones,2008-01-01,911.7
Servicios de Informática e Información,2008-01-01,1076.7030000000002
Regalías y Derechos de Licencia,2008-01-01,34.029
Servicios Empresariales,2008-01-01,2424.3
Servicios Personales Culturales y Recreativos,2008-01-01,856.5856500000003
Transacciones Oficiales,2008-01-01,8238.276790000002
RENTA,2008-01-01,19306.866710000002
Remuneración de Empleados,2008-01-01,1392.1667100000004
Retribución de la Inversión,2008-01-01,17914.8
TRANSFERENCIAS CORRIENTES,2008-01-01,212494.8
Donaciones Oficiales,2008-01-01,511.1
Donaciones Privadas,2008-01-01,14980.2
Remesas Familiares,2008-01-01,197003.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2008-01-01,131812.33125000002
Capital Sector Privado,2008-01-01,88890.22806000001
Capital Sector Bancario,2008-01-01,26096.775360000007
Capital Sector Público,2008-01-01,16825.327830000006
TOTAL DE INGRESOS,2008-01-01,633416.3578900001
EXPORTACIONES,2008-02-01,298797.72358000005
Bienes,2008-02-01,229602.64768000002
Exportación de Mercancias Generales,2008-02-01,49731.8
Procesamiento y Maquilado,2008-02-01,70495.69596000001
Anticipos por Exportación,2008-02-01,109375.15172000001
Reexportaciones,2008-02-01,0.0
Servicios,2008-02-01,69195.07590000001
Transporte,2008-02-01,3996.578750000001
Gastos de Viajero,2008-02-01,35074.1
Comunicaciones,2008-02-01,3627.1
Servicios de Construcción e Ingeniería,2008-02-01,10474.004980000005
Seguros - Reaseguros,2008-02-01,632.2810500000002
Servicios Financieros - Comisiones,2008-02-01,1226.8
Servicios de Informática e Información,2008-02-01,3344.094700000001
Regalías y Derechos de Licencia,2008-02-01,13.181570000000002
Servicios Empresariales,2008-02-01,1994.1
Servicios Personales Culturales y Recreativos,2008-02-01,200.38986000000006
Transacciones Oficiales,2008-02-01,8612.444990000002
RENTA,2008-02-01,36706.561239999995
Remuneración de Empleados,2008-02-01,1652.8612400000006
Retribución de la Inversión,2008-02-01,35053.7
TRANSFERENCIAS CORRIENTES,2008-02-01,230136.70491
