Concepto,Fechas,Monto
EXPORTACIONES,2021-01-01,566172.3
Bienes,2021-01-01,440236.0
Exportación de Mercancías Generales,2021-01-01,115168.5
Procesamiento y Maquilado,2021-01-01,118365.0
Anticipos por Exportación,2021-01-01,206702.5
Servicios,2021-01-01,125936.4
Transporte,2021-01-01,10704.4
Viajes,2021-01-01,25480.5
Comunicaciones,2021-01-01,11445.5
Construcción,2021-01-01,13828.6
Seguros - Reaseguros,2021-01-01,9212.2
Financieros,2021-01-01,10353.5
Informática e Información,2021-01-01,935.9
Regalías y Derechos de Licencia (Franquicias),2021-01-01,0.0
Empresariales,2021-01-01,26032.5
Personales Culturales y Recreativos,2021-01-01,188.3
Gubernamentales,2021-01-01,10629.6
Comercio (Ventas Locales de Prod. en Dólares),2021-01-01,7125.3
RENTA,2021-01-01,49684.5
Remuneración de Empleados,2021-01-01,26916.0
Renta de La Inversión,2021-01-01,22768.5
TRANSFERENCIAS CORRIENTES,2021-01-01,494645.0
Donaciones Oficiales,2021-01-01,212.2
Donaciones Privadas,2021-01-01,22281.1
Remesas Familiares,2021-01-01,472151.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-01-01,51490.6
Capital Sector Privados,2021-01-01,43155.1
Capital Sector Bancario,2021-01-01,8335.5
Capital Sector Público,2021-01-01,0.0
Total Ingresos,2021-01-01,1.1619924e6
EXPORTACIONES,2021-02-01,599561.4
Bienes,2021-02-01,461997.4
Exportación de Mercancías Generales,2021-02-01,101617.3
Procesamiento y Maquilado,2021-02-01,122128.1
Anticipos por Exportación,2021-02-01,238252.0
Servicios,2021-02-01,137563.9
Transporte,2021-02-01,14515.1
Viajes,2021-02-01,27684.8
Comunicaciones,2021-02-01,18511.7
Construcción,2021-02-01,13361.5
Seguros - Reaseguros,2021-02-01,7764.1
Financieros,2021-02-01,9061.3
Informática e Información,2021-02-01,1320.7
Regalías y Derechos de Licencia (Franquicias),2021-02-01,0.0
Empresariales,2021-02-01,25926.2
Personales Culturales y Recreativos,2021-02-01,713.8
Gubernamentales,2021-02-01,11375.1
Comercio (Ventas Locales de Prod. en Dólares),2021-02-01,7329.6
RENTA,2021-02-01,40712.8
Remuneración de Empleados,2021-02-01,25012.9
Renta de La Inversión,2021-02-01,15700.0
TRANSFERENCIAS CORRIENTES,2021-02-01,507299.3
Donaciones Oficiales,2021-02-01,572.7
Donaciones Privadas,2021-02-01,30953.9
Remesas Familiares,2021-02-01,475772.6
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-02-01,48331.5
Capital Sector Privados,2021-02-01,40155.0
Capital Sector Bancario,2021-02-01,2667.8
Capital Sector Público,2021-02-01,5508.7
Total Ingresos,2021-02-01,1.1959049e6
EXPORTACIONES,2021-03-01,623581.4
Bienes,2021-03-01,460834.3
Exportación de Mercancías Generales,2021-03-01,110543.5
Procesamiento y Maquilado,2021-03-01,140646.3
Anticipos por Exportación,2021-03-01,209644.5
Servicios,2021-03-01,162747.0
Transporte,2021-03-01,11039.4
Viajes,2021-03-01,37142.0
Comunicaciones,2021-03-01,8924.4
Construcción,2021-03-01,13868.6
Seguros - Reaseguros,2021-03-01,10769.1
Financieros,2021-03-01,8999.0
Informática e Información,2021-03-01,1488.5
Regalías y Derechos de Licencia (Franquicias),2021-03-01,0.0
Empresariales,2021-03-01,31518.4
Personales Culturales y Recreativos,2021-03-01,418.8
Gubernamentales,2021-03-01,29919.6
Comercio (Ventas Locales de Prod. en Dólares),2021-03-01,8659.3
RENTA,2021-03-01,56912.7
Remuneración de Empleados,2021-03-01,28100.0
Renta de La Inversión,2021-03-01,28812.7
TRANSFERENCIAS CORRIENTES,2021-03-01,674437.4
Donaciones Oficiales,2021-03-01,555.7
Donaciones Privadas,2021-03-01,35246.0
Remesas Familiares,2021-03-01,638635.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-03-01,44117.5
Capital Sector Privados,2021-03-01,29490.2
Capital Sector Bancario,2021-03-01,1753.7
Capital Sector Público,2021-03-01,12873.6
Total Ingresos,2021-03-01,1.399049e6
EXPORTACIONES,2021-04-01,575850.0
Bienes,2021-04-01,395492.7
Exportación de Mercancías Generales,2021-04-01,135564.2
Procesamiento y Maquilado,2021-04-01,121717.2
Anticipos por Exportación,2021-04-01,138211.3
Servicios,2021-04-01,180357.3
Transporte,2021-04-01,13866.3
Viajes,2021-04-01,35095.7
Comunicaciones,2021-04-01,16479.9
Construcción,2021-04-01,17323.4
Seguros - Reaseguros,2021-04-01,10300.7
Financieros,2021-04-01,10460.0
Informática e Información,2021-04-01,1571.8
Regalías y Derechos de Licencia (Franquicias),2021-04-01,0.0
Empresariales,2021-04-01,38274.5
Personales Culturales y Recreativos,2021-04-01,309.6
Gubernamentales,2021-04-01,29352.1
Comercio (Ventas Locales de Prod. en Dólares),2021-04-01,7323.3
RENTA,2021-04-01,59968.5
Remuneración de Empleados,2021-04-01,24299.5
Renta de La Inversión,2021-04-01,35669.0
TRANSFERENCIAS CORRIENTES,2021-04-01,634940.4
Donaciones Oficiales,2021-04-01,0.0
Donaciones Privadas,2021-04-01,28451.0
Remesas Familiares,2021-04-01,606489.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-04-01,42592.8
Capital Sector Privados,2021-04-01,24879.9
Capital Sector Bancario,2021-04-01,4277.9
Capital Sector Público,2021-04-01,13435.0
Total Ingresos,2021-04-01,1.3133517e6
EXPORTACIONES,2021-05-01,526221.2
Bienes,2021-05-01,376236.3
Exportación de Mercancías Generales,2021-05-01,101788.4
Procesamiento y Maquilado,2021-05-01,123589.6
Anticipos por Exportación,2021-05-01,150858.4
Servicios,2021-05-01,149985.0
Transporte,2021-05-01,11139.1
Viajes,2021-05-01,34336.7
Comunicaciones,2021-05-01,10979.1
Construcción,2021-05-01,15189.2
Seguros - Reaseguros,2021-05-01,9911.7
Financieros,2021-05-01,10884.2
Informática e Información,2021-05-01,1388.1
Regalías y Derechos de Licencia (Franquicias),2021-05-01,0.0
Empresariales,2021-05-01,29965.2
Personales Culturales y Recreativos,2021-05-01,356.5
Gubernamentales,2021-05-01,17300.8
Comercio (Ventas Locales de Prod. en Dólares),2021-05-01,8534.4
RENTA,2021-05-01,38916.6
Remuneración de Empleados,2021-05-01,27195.0
Renta de La Inversión,2021-05-01,11721.6
TRANSFERENCIAS CORRIENTES,2021-05-01,702363.3
Donaciones Oficiales,2021-05-01,0.0
Donaciones Privadas,2021-05-01,31553.5
Remesas Familiares,2021-05-01,670809.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-05-01,28912.6
Capital Sector Privados,2021-05-01,15742.3
Capital Sector Bancario,2021-05-01,1969.3
Capital Sector Público,2021-05-01,11201.0
Total Ingresos,2021-05-01,1.2964138e6
EXPORTACIONES,2021-06-01,625457.5
Bienes,2021-06-01,451573.2
Exportación de Mercancías Generales,2021-06-01,139799.0
Procesamiento y Maquilado,2021-06-01,180901.0
Anticipos por Exportación,2021-06-01,130873.2
Servicios,2021-06-01,173884.3
Transporte,2021-06-01,14829.4
Viajes,2021-06-01,39565.8
Comunicaciones,2021-06-01,19572.2
Construcción,2021-06-01,21211.0
Seguros - Reaseguros,2021-06-01,10135.5
Financieros,2021-06-01,10523.1
Informática e Información,2021-06-01,967.1
Regalías y Derechos de Licencia (Franquicias),2021-06-01,1.0
Empresariales,2021-06-01,35387.1
Personales Culturales y Recreativos,2021-06-01,197.0
Gubernamentales,2021-06-01,12839.4
Comercio (Ventas Locales de Prod. en Dólares),2021-06-01,8655.7
RENTA,2021-06-01,52862.4
Remuneración de Empleados,2021-06-01,25206.2
Renta de La Inversión,2021-06-01,27656.2
TRANSFERENCIAS CORRIENTES,2021-06-01,656313.9
Donaciones Oficiales,2021-06-01,0.0
Donaciones Privadas,2021-06-01,37095.0
Remesas Familiares,2021-06-01,619219.0
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-06-01,48427.5
Capital Sector Privados,2021-06-01,16133.5
Capital Sector Bancario,2021-06-01,2926.0
Capital Sector Público,2021-06-01,29368.0
Total Ingresos,2021-06-01,1.3830614e6
EXPORTACIONES,2021-07-01,586421.6
Bienes,2021-07-01,390541.1
Exportación de Mercancías Generales,2021-07-01,120801.3
Procesamiento y Maquilado,2021-07-01,136880.6
Anticipos por Exportación,2021-07-01,132859.2
Servicios,2021-07-01,195880.5
Transporte,2021-07-01,22470.7
Viajes,2021-07-01,48642.0
Comunicaciones,2021-07-01,15416.8
Construcción,2021-07-01,15739.9
Seguros - Reaseguros,2021-07-01,11771.3
Financieros,2021-07-01,11792.5
Informática e Información,2021-07-01,1271.6
Regalías y Derechos de Licencia (Franquicias),2021-07-01,6.0
Empresariales,2021-07-01,39028.8
Personales Culturales y Recreativos,2021-07-01,383.4
Gubernamentales,2021-07-01,17982.1
Comercio (Ventas Locales de Prod. en Dólares),2021-07-01,11375.5
RENTA,2021-07-01,62860.5
Remuneración de Empleados,2021-07-01,25408.5
Renta de La Inversión,2021-07-01,37452.0
TRANSFERENCIAS CORRIENTES,2021-07-01,648566.4
Donaciones Oficiales,2021-07-01,0.0
Donaciones Privadas,2021-07-01,28815.1
Remesas Familiares,2021-07-01,619751.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-07-01,20486.2
Capital Sector Privados,2021-07-01,15645.7
Capital Sector Bancario,2021-07-01,3003.0
Capital Sector Público,2021-07-01,1837.5
Total Ingresos,2021-07-01,1.3183348e6
EXPORTACIONES,2021-08-01,557439.9
Bienes,2021-08-01,373111.1
Exportación de Mercancías Generales,2021-08-01,121739.2
Procesamiento y Maquilado,2021-08-01,136190.7
Anticipos por Exportación,2021-08-01,115181.2
Servicios,2021-08-01,184328.8
Transporte,2021-08-01,15094.5
Viajes,2021-08-01,40323.4
Comunicaciones,2021-08-01,10109.4
Construcción,2021-08-01,19512.5
Seguros - Reaseguros,2021-08-01,11029.1
Financieros,2021-08-01,13021.4
Informática e Información,2021-08-01,876.6
Regalías y Derechos de Licencia (Franquicias),2021-08-01,0.3
Empresariales,2021-08-01,34194.0
Personales Culturales y Recreativos,2021-08-01,466.8
Gubernamentales,2021-08-01,29328.5
Comercio (Ventas Locales de Prod. en Dólares),2021-08-01,10372.3
RENTA,2021-08-01,37709.4
Remuneración de Empleados,2021-08-01,26377.4
Renta de La Inversión,2021-08-01,11332.0
TRANSFERENCIAS CORRIENTES,2021-08-01,689904.0
Donaciones Oficiales,2021-08-01,2.7
Donaciones Privadas,2021-08-01,35804.5
Remesas Familiares,2021-08-01,654096.8
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-08-01,26585.4
Capital Sector Privados,2021-08-01,15381.8
Capital Sector Bancario,2021-08-01,2132.7
Capital Sector Público,2021-08-01,9070.9
Total Ingresos,2021-08-01,1.3116387e6
EXPORTACIONES,2021-09-01,522061.7
Bienes,2021-09-01,364480.9
Exportación de Mercancías Generales,2021-09-01,116263.9
Procesamiento y Maquilado,2021-09-01,136113.0
Anticipos por Exportación,2021-09-01,112103.9
Servicios,2021-09-01,157580.9
Transporte,2021-09-01,14227.5
Viajes,2021-09-01,32439.0
Comunicaciones,2021-09-01,16458.2
Construcción,2021-09-01,16610.6
Seguros - Reaseguros,2021-09-01,8334.1
Financieros,2021-09-01,9438.8
Informática e Información,2021-09-01,1060.9
Regalías y Derechos de Licencia (Franquicias),2021-09-01,0.0
Empresariales,2021-09-01,38259.6
Personales Culturales y Recreativos,2021-09-01,233.6
Gubernamentales,2021-09-01,9727.8
Comercio (Ventas Locales de Prod. en Dólares),2021-09-01,10790.7
RENTA,2021-09-01,39341.6
Remuneración de Empleados,2021-09-01,25400.8
Renta de La Inversión,2021-09-01,13940.8
TRANSFERENCIAS CORRIENTES,2021-09-01,662878.0
Donaciones Oficiales,2021-09-01,795.4
Donaciones Privadas,2021-09-01,34708.4
Remesas Familiares,2021-09-01,627374.2
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-09-01,208407.3
Capital Sector Privados,2021-09-01,13594.0
Capital Sector Bancario,2021-09-01,3457.9
Capital Sector Público,2021-09-01,191355.4
Total Ingresos,2021-09-01,1.4326885e6
EXPORTACIONES,2021-10-01,535365.4
Bienes,2021-10-01,371930.4
Exportación de Mercancías Generales,2021-10-01,128640.3
Procesamiento y Maquilado,2021-10-01,130205.0
Anticipos por Exportación,2021-10-01,113085.2
Servicios,2021-10-01,163435.0
Transporte,2021-10-01,16231.9
Viajes,2021-10-01,38139.6
Comunicaciones,2021-10-01,7110.5
Construcción,2021-10-01,19598.0
Seguros - Reaseguros,2021-10-01,11265.6
Financieros,2021-10-01,9395.1
Informática e Información,2021-10-01,1193.9
Regalías y Derechos de Licencia (Franquicias),2021-10-01,0.2
Empresariales,2021-10-01,33270.5
Personales Culturales y Recreativos,2021-10-01,313.8
Gubernamentales,2021-10-01,16600.1
Comercio (Ventas Locales de Prod. en Dólares),2021-10-01,10315.7
RENTA,2021-10-01,31994.3
Remuneración de Empleados,2021-10-01,23851.9
Renta de La Inversión,2021-10-01,8142.4
TRANSFERENCIAS CORRIENTES,2021-10-01,656180.5
Donaciones Oficiales,2021-10-01,13.9
Donaciones Privadas,2021-10-01,29133.2
Remesas Familiares,2021-10-01,627033.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-10-01,55150.5
Capital Sector Privados,2021-10-01,19920.3
Capital Sector Bancario,2021-10-01,4785.9
Capital Sector Público,2021-10-01,30444.3
Total Ingresos,2021-10-01,1.2786907e6
EXPORTACIONES,2021-11-01,621431.4
Bienes,2021-11-01,462593.5
Exportación de Mercancías Generales,2021-11-01,139579.5
Procesamiento y Maquilado,2021-11-01,147088.8
Anticipos por Exportación,2021-11-01,175925.2
Servicios,2021-11-01,158837.9
Transporte,2021-11-01,19102.1
Viajes,2021-11-01,33931.9
Comunicaciones,2021-11-01,12561.3
Construcción,2021-11-01,19289.8
Seguros - Reaseguros,2021-11-01,9076.5
Financieros,2021-11-01,11128.0
Informática e Información,2021-11-01,1269.8
Regalías y Derechos de Licencia (Franquicias),2021-11-01,0.8
Empresariales,2021-11-01,28170.1
Personales Culturales y Recreativos,2021-11-01,899.7
Gubernamentales,2021-11-01,11005.3
Comercio (Ventas Locales de Prod. en Dólares),2021-11-01,12402.7
RENTA,2021-11-01,40958.5
Remuneración de Empleados,2021-11-01,25121.8
Renta de La Inversión,2021-11-01,15836.6
TRANSFERENCIAS CORRIENTES,2021-11-01,699658.6
Donaciones Oficiales,2021-11-01,1036.9
Donaciones Privadas,2021-11-01,40157.3
Remesas Familiares,2021-11-01,658464.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-11-01,219967.3
Capital Sector Privados,2021-11-01,51142.9
Capital Sector Bancario,2021-11-01,2765.7
Capital Sector Público,2021-11-01,166058.7
Total Ingresos,2021-11-01,1.5820158e6
EXPORTACIONES,2021-12-01,809294.9
Bienes,2021-12-01,632997.2
Exportación de Mercancías Generales,2021-12-01,178280.6
Procesamiento y Maquilado,2021-12-01,196208.9
Anticipos por Exportación,2021-12-01,258507.7
Servicios,2021-12-01,176297.7
Transporte,2021-12-01,15329.4
Viajes,2021-12-01,31079.4
Comunicaciones,2021-12-01,15773.0
Construcción,2021-12-01,17166.9
Seguros - Reaseguros,2021-12-01,9778.2
Financieros,2021-12-01,18489.0
Informática e Información,2021-12-01,1975.3
Regalías y Derechos de Licencia (Franquicias),2021-12-01,0.6
Empresariales,2021-12-01,43758.0
Personales Culturales y Recreativos,2021-12-01,494.0
Gubernamentales,2021-12-01,10738.9
Comercio (Ventas Locales de Prod. en Dólares),2021-12-01,11714.9
RENTA,2021-12-01,50949.8
Remuneración de Empleados,2021-12-01,31099.4
Renta de La Inversión,2021-12-01,19850.4
TRANSFERENCIAS CORRIENTES,2021-12-01,743832.4
Donaciones Oficiales,2021-12-01,349.9
Donaciones Privadas,2021-12-01,43247.6
Remesas Familiares,2021-12-01,700234.9
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2021-12-01,102521.0
Capital Sector Privados,2021-12-01,45450.2
Capital Sector Bancario,2021-12-01,3677.6
Capital Sector Público,2021-12-01,53393.1
Total Ingresos,2021-12-01,1.7065979e6
