Concepto,Fechas,Monto
EXPORTACIONES,2015-01-01,510897.90840000013
Bienes,2015-01-01,380773.17966000014
Exportación de Mercancias Generales,2015-01-01,98928.86843000003
Procesamiento y Maquilado,2015-01-01,85414.81647000002
Anticipos por Exportación,2015-01-01,196429.49476000006
Reexportaciones,2015-01-01,0.0
Servicios,2015-01-01,130124.72874
Transporte,2015-01-01,9031.992450000002
Viajes,2015-01-01,64605.79273000001
Comunicaciones,2015-01-01,6376.485960000001
Construcción,2015-01-01,13663.676580000003
Seguros - Reaseguros,2015-01-01,551.5547700000002
Servicios Financieros - Comisiones,2015-01-01,3364.832730000001
Servicios de Informática e Información,2015-01-01,1007.0323200000003
Regalías y Derechos de Licencia,2015-01-01,45.15360000000001
Servicios Empresariales,2015-01-01,20264.862610000004
Servicios Personales Culturales y Recreativos,2015-01-01,160.80842000000007
Gubernamentales,2015-01-01,6188.818780000001
Comercio,2015-01-01,4863.7177900000015
RENTA,2015-01-01,13422.595130000002
Remuneración de Empleados,2015-01-01,1985.2452500000004
Retribución de la Inversión,2015-01-01,11437.349880000002
TRANSFERENCIAS CORRIENTES,2015-01-01,276380.15636000014
Donaciones Oficiales,2015-01-01,733.6247200000003
Donaciones Privadas,2015-01-01,18855.251320000007
Remesas Familiares,2015-01-01,256791.2803200001
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2015-01-01,112088.54653000002
Capital Sector Privado,2015-01-01,106642.87146000002
Capital Sector Bancario,2015-01-01,0.0
Capital Sector Público,2015-01-01,5445.675070000001
DataValue{Union{}}(),2015-01-01,912789.2064200004
EXPORTACIONES,2015-02-01,449304.70517000015
Bienes,2015-02-01,327583.60473000014
Exportación de Mercancias Generales,2015-02-01,85180.34623000002
Procesamiento y Maquilado,2015-02-01,81570.34150000004
Anticipos por Exportación,2015-02-01,160832.91700000007
Reexportaciones,2015-02-01,0.0
Servicios,2015-02-01,121721.10044000002
Transporte,2015-02-01,8262.062380000003
Viajes,2015-02-01,58983.78654000001
Comunicaciones,2015-02-01,7221.130430000001
Construcción,2015-02-01,13504.378650000002
Seguros - Reaseguros,2015-02-01,333.71098000000006
Servicios Financieros - Comisiones,2015-02-01,2272.7417500000006
Servicios de Informática e Información,2015-02-01,489.1196500000001
