Concepto,Fechas,Monto
EXPORTACIONES,2018-01-01,555290.1
Bienes,2018-01-01,419176.4
Exportación de Mercancías Generales,2018-01-01,79335.3
Procesamiento y Maquilado,2018-01-01,93032.4
Anticipos por Exportación,2018-01-01,246808.6
Reexportaciones,2018-01-01,0.0
Servicios,2018-01-01,136113.7
Transporte,2018-01-01,11330.1
Viajes,2018-01-01,47224.0
Comunicaciones,2018-01-01,8128.9
Construcción,2018-01-01,13983.4
Seguros - Reaseguros,2018-01-01,2428.7
Financieros,2018-01-01,1817.7
Informática e Información,2018-01-01,826.1
Regalías y Derechos de Licencia (Franquicias),2018-01-01,10.9
Empresariales,2018-01-01,30057.0
Personales Culturales y Recreativos,2018-01-01,258.9
Gubernamentales,2018-01-01,6034.9
Comercio (Ventas Locales de Prod. en Dólares),2018-01-01,14013.2
RENTA,2018-01-01,26260.1
Remuneración de Empleados,2018-01-01,8875.3
Renta de La Inversión,2018-01-01,17384.8
TRANSFERENCIAS CORRIENTES,2018-01-01,368049.6
Donaciones Oficiales,2018-01-01,2291.6
Donaciones Privadas,2018-01-01,23590.1
Remesas Familiares,2018-01-01,342167.8
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2018-01-01,108249.1
Capital Sector Privados,2018-01-01,85782.4
Capital Sector Bancario,2018-01-01,21495.1
Capital Sector Público,2018-01-01,971.7
Total Ingresos,2018-01-01,1.0578489e6
EXPORTACIONES,2018-02-01,502080.2
Bienes,2018-02-01,365641.5
Exportación de Mercancías Generales,2018-02-01,61050.6
Procesamiento y Maquilado,2018-02-01,97582.7
Anticipos por Exportación,2018-02-01,207008.2
Reexportaciones,2018-02-01,0.0
Servicios,2018-02-01,136438.7
Transporte,2018-02-01,12671.6
Viajes,2018-02-01,50004.2
Comunicaciones,2018-02-01,12035.8
Construcción,2018-02-01,15569.6
Seguros - Reaseguros,2018-02-01,1386.6
Financieros,2018-02-01,2575.5
Informática e Información,2018-02-01,738.8
Regalías y Derechos de Licencia (Franquicias),2018-02-01,11.3
Empresariales,2018-02-01,26017.5
Personales Culturales y Recreativos,2018-02-01,226.3
Gubernamentales,2018-02-01,5586.1
Comercio (Ventas Locales de Prod. en Dólares),2018-02-01,9615.5
RENTA,2018-02-01,26816.5
Remuneración de Empleados,2018-02-01,10423.5
Renta de La Inversión,2018-02-01,16393.1
TRANSFERENCIAS CORRIENTES,2018-02-01,373997.5
Donaciones Oficiales,2018-02-01,162.5
Donaciones Privadas,2018-02-01,24748.2
Remesas Familiares,2018-02-01,349086.9
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2018-02-01,136250.0
Capital Sector Privados,2018-02-01,91294.8
Capital Sector Bancario,2018-02-01,19609.1
Capital Sector Público,2018-02-01,25346.0
Total Ingresos,2018-02-01,1.0391444e6
EXPORTACIONES,2018-03-01,503439.8
Bienes,2018-03-01,352476.4
Exportación de Mercancías Generales,2018-03-01,73928.6
Procesamiento y Maquilado,2018-03-01,102502.1
Anticipos por Exportación,2018-03-01,176045.7
Reexportaciones,2018-03-01,0.0
Servicios,2018-03-01,150963.4
Transporte,2018-03-01,12645.1
Viajes,2018-03-01,50633.4
Comunicaciones,2018-03-01,8194.2
Construcción,2018-03-01,17802.5
Seguros - Reaseguros,2018-03-01,3673.6
Financieros,2018-03-01,7896.4
Informática e Información,2018-03-01,692.5
Regalías y Derechos de Licencia (Franquicias),2018-03-01,1.1
Empresariales,2018-03-01,31621.8
Personales Culturales y Recreativos,2018-03-01,329.0
Gubernamentales,2018-03-01,5458.0
Comercio (Ventas Locales de Prod. en Dólares),2018-03-01,12015.8
RENTA,2018-03-01,25467.1
Remuneración de Empleados,2018-03-01,10735.0
Renta de La Inversión,2018-03-01,14732.1
TRANSFERENCIAS CORRIENTES,2018-03-01,411242.6
Donaciones Oficiales,2018-03-01,285.1
Donaciones Privadas,2018-03-01,24604.2
Remesas Familiares,2018-03-01,386353.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2018-03-01,55840.8
Capital Sector Privados,2018-03-01,33653.8
Capital Sector Bancario,2018-03-01,8151.2
Capital Sector Público,2018-03-01,14035.7
