Concepto,Fechas,Monto
EXPORTACIONES,2016-01-01,395003.61241000006
Bienes,2016-01-01,274551.86577000003
Exportación de Mercancias Generales,2016-01-01,45158.71091000001
Procesamiento y Maquilado,2016-01-01,88944.17661000001
Anticipos por Exportación,2016-01-01,140448.97825000004
Reexportaciones,2016-01-01,0.0
Servicios,2016-01-01,120451.74664000003
Transporte,2016-01-01,9693.884920000002
Viajes,2016-01-01,56817.29865000001
Comunicaciones,2016-01-01,4223.092130000001
Construcción,2016-01-01,14997.539250000002
Seguros - Reaseguros,2016-01-01,1364.4492300000004
Servicios Financieros - Comisiones,2016-01-01,3196.838100000001
Servicios de Informática e Información,2016-01-01,607.6968600000002
Regalías y Derechos de Licencia,2016-01-01,0.0
Servicios Empresariales,2016-01-01,21693.36430000001
Servicios Personales Culturales y Recreativos,2016-01-01,382.6874000000001
Gubernamentales,2016-01-01,2268.2910500000007
Comercio,2016-01-01,5206.604750000001
RENTA,2016-01-01,8161.318010000003
Remuneración de Empleados,2016-01-01,2832.8100300000006
Retribución de la Inversión,2016-01-01,5328.507980000002
TRANSFERENCIAS CORRIENTES,2016-01-01,284123.0705900001
Donaciones Oficiales,2016-01-01,0.0
Donaciones Privadas,2016-01-01,19153.13557000001
Remesas Familiares,2016-01-01,264969.9350200001
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2016-01-01,89020.01961000003
Capital Sector Privado,2016-01-01,79172.38489000003
Capital Sector Bancario,2016-01-01,5146.66892
Capital Sector Público,2016-01-01,4700.965800000002
DataValue{Union{}}(),2016-01-01,776308.0206200001
EXPORTACIONES,2016-02-01,425262.24905000004
Bienes,2016-02-01,294046.53986
Exportación de Mercancias Generales,2016-02-01,68051.65380000003
Procesamiento y Maquilado,2016-02-01,84093.58878
Anticipos por Exportación,2016-02-01,141901.29728
Reexportaciones,2016-02-01,0.0
Servicios,2016-02-01,131215.70919000002
Transporte,2016-02-01,6567.490450000002
Viajes,2016-02-01,63174.93214000001
Comunicaciones,2016-02-01,6719.296650000001
Construcción,2016-02-01,12618.989080000005
Seguros - Reaseguros,2016-02-01,1182.8576100000002
Servicios Financieros - Comisiones,2016-02-01,3487.246720000001
Servicios de Informática e Información,2016-02-01,738.3030600000002
Regalías y Derechos de Licencia,2016-02-01,0.0
Servicios Empresariales,2016-02-01,28068.26899000001
Servicios Personales Culturales y Recreativos,2016-02-01,901.7460000000001
Gubernamentales,2016-02-01,2969.3718500000004
Comercio,2016-02-01,4787.206640000001
RENTA,2016-02-01,18411.192520000004
Remuneración de Empleados,2016-02-01,3858.453830000001
Retribución de la Inversión,2016-02-01,14552.738690000004
TRANSFERENCIAS CORRIENTES,2016-02-01,330781.1516900001
Donaciones Oficiales,2016-02-01,0.0
Donaciones Privadas,2016-02-01,20321.214290000007
Remesas Familiares,2016-02-01,310459.93740000005
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2016-02-01,81525.51401000003
Capital Sector Privado,2016-02-01,56243.42824000002
Capital Sector Bancario,2016-02-01,16177.419460000003
Capital Sector Público,2016-02-01,9104.666310000004
DataValue{Union{}}(),2016-02-01,855980.1072700002
EXPORTACIONES,2016-03-01,459937.88205000013
Bienes,2016-03-01,296668.9319600001
Exportación de Mercancias Generales,2016-03-01,60077.524400000024
Procesamiento y Maquilado,2016-03-01,98142.90472000002
Anticipos por Exportación,2016-03-01,138448.50284000006
Reexportaciones,2016-03-01,0.0
Servicios,2016-03-01,163268.95009000006
Transporte,2016-03-01,9201.838750000003
Viajes,2016-03-01,81516.82623000002
Comunicaciones,2016-03-01,2863.2723100000007
Construcción,2016-03-01,17113.781750000002
Seguros - Reaseguros,2016-03-01,930.4513800000003
Servicios Financieros - Comisiones,2016-03-01,4811.055130000002
Servicios de Informática e Información,2016-03-01,559.8781500000001
Regalías y Derechos de Licencia,2016-03-01,0.0
