Concepto,Fechas,Monto
EXPORTACIONES,2006-01-01,187735.23
Bienes,2006-01-01,145932.9
Exportación de Mercancias Generales,2006-01-01,40087.6
Procesamiento y Maquilado,2006-01-01,55929.6
Anticipos por Exportación,2006-01-01,49870.7
Reexportaciones,2006-01-01,45.0
Servicios,2006-01-01,41802.33
Transporte,2006-01-01,3823.7
Gastos de Viajero,2006-01-01,15676.0
Comunicaciones,2006-01-01,2994.5
Servicios de Construcción e Ingeniería,2006-01-01,2518.9
Seguros - Reaseguros,2006-01-01,692.5
Servicios Financieros - Comisiones,2006-01-01,6952.1
Servicios de Informática e Información,2006-01-01,684.3
Regalías y Derechos de Licencia,2006-01-01,0.0
Servicios Empresariales,2006-01-01,5268.53
Servicios Personales Culturales y Recreativos,2006-01-01,375.5
Transacciones Oficiales,2006-01-01,2816.3
RENTA,2006-01-01,26637.5
Remuneración de Empleados,2006-01-01,2226.3
Retribución de la Inversión,2006-01-01,24411.2
TRANSFERENCIAS CORRIENTES,2006-01-01,168039.8
Donaciones Oficiales,2006-01-01,369.5
Donaciones Privadas,2006-01-01,16200.4
Remesas Familiares,2006-01-01,151469.9
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2006-01-01,123609.9
Capital Sector Privado,2006-01-01,78156.8
Capital Sector Bancario,2006-01-01,15646.3
Capital Sector Público,2006-01-01,29806.8
DataValue{Union{}}(),2006-01-01,506022.43000000005
EXPORTACIONES,2006-02-01,188055.7
Bienes,2006-02-01,138360.4
Exportación de Mercancias Generales,2006-02-01,29993.7
Procesamiento y Maquilado,2006-02-01,53892.3
Anticipos por Exportación,2006-02-01,54474.4
Reexportaciones,2006-02-01,0.0
Servicios,2006-02-01,49695.3
Transporte,2006-02-01,4324.5
Gastos de Viajero,2006-02-01,18607.8
Comunicaciones,2006-02-01,9941.2
Servicios de Construcción e Ingeniería,2006-02-01,3057.9
Seguros - Reaseguros,2006-02-01,526.4
Servicios Financieros - Comisiones,2006-02-01,4421.4
Servicios de Informática e Información,2006-02-01,1041.0
Regalías y Derechos de Licencia,2006-02-01,0.0
Servicios Empresariales,2006-02-01,4841.0
Servicios Personales Culturales y Recreativos,2006-02-01,343.9
Transacciones Oficiales,2006-02-01,2590.2
RENTA,2006-02-01,13404.2
Remuneración de Empleados,2006-02-01,2551.9
Retribución de la Inversión,2006-02-01,10852.3
TRANSFERENCIAS CORRIENTES,2006-02-01,181373.5
Donaciones Oficiales,2006-02-01,573.4
Donaciones Privadas,2006-02-01,18301.8
Remesas Familiares,2006-02-01,162498.3
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2006-02-01,97216.2
Capital Sector Privado,2006-02-01,73977.2
Capital Sector Bancario,2006-02-01,17470.7
Capital Sector Público,2006-02-01,5768.3
DataValue{Union{}}(),2006-02-01,480049.60000000003
EXPORTACIONES,2006-03-01,228464.2
Bienes,2006-03-01,167748.3
Exportación de Mercancias Generales,2006-03-01,37607.1
Procesamiento y Maquilado,2006-03-01,65108.5
Anticipos por Exportación,2006-03-01,65032.7
Reexportaciones,2006-03-01,0.0
Servicios,2006-03-01,60715.9
Transporte,2006-03-01,3708.4
Gastos de Viajero,2006-03-01,20359.3
Comunicaciones,2006-03-01,3606.2
Servicios de Construcción e Ingeniería,2006-03-01,7220.6
Seguros - Reaseguros,2006-03-01,743.6
Servicios Financieros - Comisiones,2006-03-01,8247.8
Servicios de Informática e Información,2006-03-01,2308.2
Regalías y Derechos de Licencia,2006-03-01,16.0
Servicios Empresariales,2006-03-01,6777.0
Servicios Personales Culturales y Recreativos,2006-03-01,563.8
Transacciones Oficiales,2006-03-01,7165.0
RENTA,2006-03-01,19692.7
Remuneración de Empleados,2006-03-01,2185.9
Retribución de la Inversión,2006-03-01,17506.8
TRANSFERENCIAS CORRIENTES,2006-03-01,216746.2
Donaciones Oficiales,2006-03-01,6335.6
Donaciones Privadas,2006-03-01,19666.9
Remesas Familiares,2006-03-01,190743.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2006-03-01,137017.0
Capital Sector Privado,2006-03-01,110298.9
Capital Sector Bancario,2006-03-01,9155.0
Capital Sector Público,2006-03-01,17563.1
DataValue{Union{}}(),2006-03-01,601920.1000000001
EXPORTACIONES,2006-04-01,206207.9
Bienes,2006-04-01,133144.3
Exportación de Mercancias Generales,2006-04-01,37506.8
Procesamiento y Maquilado,2006-04-01,57854.4
Anticipos por Exportación,2006-04-01,37783.1
Reexportaciones,2006-04-01,0.0
Servicios,2006-04-01,73063.6
Transporte,2006-04-01,6106.8
Gastos de Viajero,2006-04-01,16398.3
Comunicaciones,2006-04-01,21131.0
Servicios de Construcción e Ingeniería,2006-04-01,5524.5
Seguros - Reaseguros,2006-04-01,412.7
Servicios Financieros - Comisiones,2006-04-01,6856.0
Servicios de Informática e Información,2006-04-01,1498.5
Regalías y Derechos de Licencia,2006-04-01,1.0
Servicios Empresariales,2006-04-01,8769.7
Servicios Personales Culturales y Recreativos,2006-04-01,1103.7
Transacciones Oficiales,2006-04-01,5261.4
RENTA,2006-04-01,14955.7
Remuneración de Empleados,2006-04-01,1681.1
Retribución de la Inversión,2006-04-01,13274.6
TRANSFERENCIAS CORRIENTES,2006-04-01,181306.3
Donaciones Oficiales,2006-04-01,200.9
Donaciones Privadas,2006-04-01,14447.6
Remesas Familiares,2006-04-01,166657.8
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2006-04-01,66672.9
Capital Sector Privado,2006-04-01,51903.9
Capital Sector Bancario,2006-04-01,6122.3
Capital Sector Público,2006-04-01,8646.7
