Concepto,Fechas,Monto
EXPORTACIONES,2007-01-01,203300.7
Bienes,2007-01-01,165028.7
Exportación de Mercancias Generales,2007-01-01,52563.6
Procesamiento y Maquilado,2007-01-01,60157.9
Anticipos por Exportación,2007-01-01,52307.2
Reexportaciones,2007-01-01,0.0
Servicios,2007-01-01,38272.0
Transporte,2007-01-01,4412.7
Gastos de Viajero,2007-01-01,15354.2
Comunicaciones,2007-01-01,5643.7
Servicios de Construcción e Ingeniería,2007-01-01,5013.4
Seguros - Reaseguros,2007-01-01,591.5
Servicios Financieros - Comisiones,2007-01-01,536.6
Servicios de Informática e Información,2007-01-01,576.4
Regalías y Derechos de Licencia,2007-01-01,0.0
Servicios Empresariales,2007-01-01,1483.7
Servicios Personales Culturales y Recreativos,2007-01-01,284.9
Transacciones Oficiales,2007-01-01,4374.9
RENTA,2007-01-01,22375.0
Remuneración de Empleados,2007-01-01,1567.4
Retribución de la Inversión,2007-01-01,20807.6
TRANSFERENCIAS CORRIENTES,2007-01-01,200752.4
Donaciones Oficiales,2007-01-01,2183.2
Donaciones Privadas,2007-01-01,17997.1
Remesas Familiares,2007-01-01,180572.1
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2007-01-01,111472.3
Capital Sector Privado,2007-01-01,96105.8
Capital Sector Bancario,2007-01-01,9189.7
Capital Sector Público,2007-01-01,6176.8
DataValue{Union{}}(),2007-01-01,537900.4
EXPORTACIONES,2007-02-01,236608.5
Bienes,2007-02-01,193753.7
Exportación de Mercancias Generales,2007-02-01,57564.4
Procesamiento y Maquilado,2007-02-01,63751.9
Anticipos por Exportación,2007-02-01,72437.4
Reexportaciones,2007-02-01,0.0
Servicios,2007-02-01,42854.8
Transporte,2007-02-01,4818.2
Gastos de Viajero,2007-02-01,21482.0
Comunicaciones,2007-02-01,3858.0
Servicios de Construcción e Ingeniería,2007-02-01,5958.9
Seguros - Reaseguros,2007-02-01,238.2
Servicios Financieros - Comisiones,2007-02-01,454.1
Servicios de Informática e Información,2007-02-01,828.2
Regalías y Derechos de Licencia,2007-02-01,99.0
Servicios Empresariales,2007-02-01,1226.7
Servicios Personales Culturales y Recreativos,2007-02-01,301.6
Transacciones Oficiales,2007-02-01,3589.9
RENTA,2007-02-01,15003.2
Remuneración de Empleados,2007-02-01,1683.0
Retribución de la Inversión,2007-02-01,13320.2
TRANSFERENCIAS CORRIENTES,2007-02-01,202238.5
Donaciones Oficiales,2007-02-01,1628.5
Donaciones Privadas,2007-02-01,17912.6
Remesas Familiares,2007-02-01,182697.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2007-02-01,113101.3
Capital Sector Privado,2007-02-01,85106.7
Capital Sector Bancario,2007-02-01,17930.3
Capital Sector Público,2007-02-01,10064.3
DataValue{Union{}}(),2007-02-01,566951.5
EXPORTACIONES,2007-03-01,237573.3
Bienes,2007-03-01,181784.1
Exportación de Mercancias Generales,2007-03-01,45001.3
Procesamiento y Maquilado,2007-03-01,74412.8
Anticipos por Exportación,2007-03-01,62370.0
Reexportaciones,2007-03-01,0.0
Servicios,2007-03-01,55789.2
Transporte,2007-03-01,4800.5
Gastos de Viajero,2007-03-01,25670.2
Comunicaciones,2007-03-01,6500.9
Servicios de Construcción e Ingeniería,2007-03-01,7649.5
Seguros - Reaseguros,2007-03-01,415.7
Servicios Financieros - Comisiones,2007-03-01,1080.0
Servicios de Informática e Información,2007-03-01,1922.0
Regalías y Derechos de Licencia,2007-03-01,2.0
Servicios Empresariales,2007-03-01,1621.5
Servicios Personales Culturales y Recreativos,2007-03-01,411.9
Transacciones Oficiales,2007-03-01,5715.0
RENTA,2007-03-01,27546.2
Remuneración de Empleados,2007-03-01,2228.4
Retribución de la Inversión,2007-03-01,25317.8
TRANSFERENCIAS CORRIENTES,2007-03-01,224621.4
Donaciones Oficiales,2007-03-01,577.6
Donaciones Privadas,2007-03-01,18668.4
Remesas Familiares,2007-03-01,205375.4
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2007-03-01,86495.9
Capital Sector Privado,2007-03-01,70338.6
Capital Sector Bancario,2007-03-01,8423.2
Capital Sector Público,2007-03-01,7734.1
DataValue{Union{}}(),2007-03-01,576236.8
EXPORTACIONES,2007-04-01,207458.0
Bienes,2007-04-01,156418.3
Exportación de Mercancias Generales,2007-04-01,48972.2
Procesamiento y Maquilado,2007-04-01,61927.0
