Concepto,Fechas,Monto
EXPORTACIONES,2005-01-01,154739.5
Bienes,2005-01-01,113197.6
   Exportación de Mercancias Generales,2005-01-01,21653.1
   Procesamiento y Maquilado,2005-01-01,47437.0
   Anticipos por Exportación,2005-01-01,44107.5
   Reexportaciones,2005-01-01,0.0
Servicios,2005-01-01,41541.9
   Transporte,2005-01-01,1725.2
   Gastos de Viajero,2005-01-01,21284.7
   Comunicaciones,2005-01-01,207.9
   Servicios de Construcción e Ingeniería,2005-01-01,721.1
   Seguros - Reaseguros,2005-01-01,410.1
   Servicios Financieros - Comisiones,2005-01-01,3346.0
   Servicios de Informática e Información,2005-01-01,15.8
   Regalías y Derechos de Licencia,2005-01-01,0.0
   Servicios Empresariales,2005-01-01,3791.4
   Servicios Personales Culturales y Recreativos,2005-01-01,522.8
   Transacciones Oficiales,2005-01-01,9516.9
RENTA,2005-01-01,4801.9
   Remuneración de Empleados,2005-01-01,414.3
   Retribución de la Inversión,2005-01-01,4387.6
TRANSFERENCIAS CORRIENTES,2005-01-01,129729.4
   Donaciones Oficiales,2005-01-01,340.0
   Donaciones Privadas,2005-01-01,11537.3
   Remesas Familiares,2005-01-01,117852.1
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2005-01-01,65333.7
   Capital Sector Privado,2005-01-01,46790.4
   Capital Sector Bancario,2005-01-01,7177.4
   Capital Sector Público,2005-01-01,11365.9
TOTAL INGRESOS,2005-01-01,354604.5
EXPORTACIONES,2005-02-01,160616.8
Bienes,2005-02-01,124841.0
   Exportación de Mercancias Generales,2005-02-01,33894.9
   Procesamiento y Maquilado,2005-02-01,52844.7
   Anticipos por Exportación,2005-02-01,38101.4
   Reexportaciones,2005-02-01,0.0
Servicios,2005-02-01,35775.8
   Transporte,2005-02-01,4356.9
   Gastos de Viajero,2005-02-01,16331.3
   Comunicaciones,2005-02-01,1199.1
   Servicios de Construcción e Ingeniería,2005-02-01,2551.0
   Seguros - Reaseguros,2005-02-01,411.1
   Servicios Financieros - Comisiones,2005-02-01,756.5
   Servicios de Informática e Información,2005-02-01,375.8
   Regalías y Derechos de Licencia,2005-02-01,86.2
   Servicios Empresariales,2005-02-01,5925.8
   Servicios Personales Culturales y Recreativos,2005-02-01,345.5
   Transacciones Oficiales,2005-02-01,3436.6
RENTA,2005-02-01,12933.5
   Remuneración de Empleados,2005-02-01,1200.3
   Retribución de la Inversión,2005-02-01,11733.2
TRANSFERENCIAS CORRIENTES,2005-02-01,124529.8
   Donaciones Oficiales,2005-02-01,1172.2
   Donaciones Privadas,2005-02-01,16025.5
   Remesas Familiares,2005-02-01,107332.1
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2005-02-01,80729.4
   Capital Sector Privado,2005-02-01,37846.5
   Capital Sector Bancario,2005-02-01,18607.3
   Capital Sector Público,2005-02-01,24275.6
TOTAL INGRESOS,2005-02-01,378809.5
EXPORTACIONES,2005-03-01,177020.1
Bienes,2005-03-01,137437.3
   Exportación de Mercancias Generales,2005-03-01,32142.6
   Procesamiento y Maquilado,2005-03-01,56261.9
   Anticipos por Exportación,2005-03-01,45432.8
   Reexportaciones,2005-03-01,3600.0
Servicios,2005-03-01,39582.8
   Transporte,2005-03-01,6183.9
   Gastos de Viajero,2005-03-01,15161.9
   Comunicaciones,2005-03-01,1649.0
   Servicios de Construcción e Ingeniería,2005-03-01,2751.1
   Seguros - Reaseguros,2005-03-01,527.2
   Servicios Financieros - Comisiones,2005-03-01,1335.8
   Servicios de Informática e Información,2005-03-01,1244.1
   Regalías y Derechos de Licencia,2005-03-01,119.5
   Servicios Empresariales,2005-03-01,7152.3
   Servicios Personales Culturales y Recreativos,2005-03-01,739.1
   Transacciones Oficiales,2005-03-01,2718.9
RENTA,2005-03-01,16346.1
   Remuneración de Empleados,2005-03-01,1737.5
   Retribución de la Inversión,2005-03-01,14608.6
TRANSFERENCIAS CORRIENTES,2005-03-01,150685.4
   Donaciones Oficiales,2005-03-01,1429.6
   Donaciones Privadas,2005-03-01,16893.3
   Remesas Familiares,2005-03-01,132362.5
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2005-03-01,55922.9
   Capital Sector Privado,2005-03-01,36167.5
   Capital Sector Bancario,2005-03-01,9628.5
   Capital Sector Público,2005-03-01,10126.9
TOTAL INGRESOS,2005-03-01,399974.5
EXPORTACIONES,2005-04-01,180911.6
Bienes,2005-04-01,135290.7
   Exportación de Mercancias Generales,2005-04-01,40412.7
   Procesamiento y Maquilado,2005-04-01,58599.0
   Anticipos por Exportación,2005-04-01,36279.0
   Reexportaciones,2005-04-01,0.0
Servicios,2005-04-01,45620.9
   Transporte,2005-04-01,5011.7
   Gastos de Viajero,2005-04-01,19685.2
   Comunicaciones,2005-04-01,1741.4
   Servicios de Construcción e Ingeniería,2005-04-01,3306.3
   Seguros - Reaseguros,2005-04-01,362.4
   Servicios Financieros - Comisiones,2005-04-01,1290.3
   Servicios de Informática e Información,2005-04-01,1158.5
   Regalías y Derechos de Licencia,2005-04-01,2.1
   Servicios Empresariales,2005-04-01,5006.2
   Servicios Personales Culturales y Recreativos,2005-04-01,85.8
   Transacciones Oficiales,2005-04-01,7971.0
RENTA,2005-04-01,19562.8
   Remuneración de Empleados,2005-04-01,1317.4
   Retribución de la Inversión,2005-04-01,18245.4
TRANSFERENCIAS CORRIENTES,2005-04-01,150500.3
   Donaciones Oficiales,2005-04-01,6163.1
   Donaciones Privadas,2005-04-01,17057.1
   Remesas Familiares,2005-04-01,127280.1
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2005-04-01,80627.9
   Capital Sector Privado,2005-04-01,29256.1
   Capital Sector Bancario,2005-04-01,5615.2
   Capital Sector Público,2005-04-01,45756.6
TOTAL INGRESOS,2005-04-01,431602.6
EXPORTACIONES,2005-05-01,175691.7
Bienes,2005-05-01,134992.7
   Exportación de Mercancias Generales,2005-05-01,39548.1
   Procesamiento y Maquilado,2005-05-01,60575.2
   Anticipos por Exportación,2005-05-01,34869.4
   Reexportaciones,2005-05-01,0.0
Servicios,2005-05-01,40699.0
   Transporte,2005-05-01,4981.8
   Gastos de Viajero,2005-05-01,16235.5
   Comunicaciones,2005-05-01,1173.8
   Servicios de Construcción e Ingeniería,2005-05-01,3162.7
   Seguros - Reaseguros,2005-05-01,351.0
   Servicios Financieros - Comisiones,2005-05-01,1038.1
   Servicios de Informática e Información,2005-05-01,1025.1
   Regalías y Derechos de Licencia,2005-05-01,0.7
   Servicios Empresariales,2005-05-01,4087.9
   Servicios Personales Culturales y Recreativos,2005-05-01,186.9
   Transacciones Oficiales,2005-05-01,8455.5
RENTA,2005-05-01,21437.6
   Remuneración de Empleados,2005-05-01,2122.8
   Retribución de la Inversión,2005-05-01,19314.8
TRANSFERENCIAS CORRIENTES,2005-05-01,165160.4
   Donaciones Oficiales,2005-05-01,2744.3
   Donaciones Privadas,2005-05-01,18311.4
   Remesas Familiares,2005-05-01,144104.7
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2005-05-01,88829.7
   Capital Sector Privado,2005-05-01,48889.2
   Capital Sector Bancario,2005-05-01,19200.4
   Capital Sector Público,2005-05-01,20740.1
TOTAL INGRESOS,2005-05-01,451119.4
EXPORTACIONES,2005-06-01,202320.7
Bienes,2005-06-01,151800.4
   Exportación de Mercancias Generales,2005-06-01,39908.0
   Procesamiento y Maquilado,2005-06-01,83119.7
   Anticipos por Exportación,2005-06-01,28772.7
   Reexportaciones,2005-06-01,0.0
Servicios,2005-06-01,50520.3
   Transporte,2005-06-01,5283.2
   Gastos de Viajero,2005-06-01,20031.1
   Comunicaciones,2005-06-01,2178.5
   Servicios de Construcción e Ingeniería,2005-06-01,5225.5
   Seguros - Reaseguros,2005-06-01,231.8
   Servicios Financieros - Comisiones,2005-06-01,1499.4
   Servicios de Informática e Información,2005-06-01,811.5
   Regalías y Derechos de Licencia,2005-06-01,52.5
   Servicios Empresariales,2005-06-01,5305.6
   Servicios Personales Culturales y Recreativos,2005-06-01,754.9
