Concepto,Fechas,Monto
EXPORTACIONES,2011-01-01,364701.54013000015
Bienes,2011-01-01,304051.71876000013
Exportación de Mercancias Generales,2011-01-01,73782.07365000002
Procesamiento y Maquilado,2011-01-01,68295.13960000002
Anticipos por Exportación,2011-01-01,161974.5055100001
Reexportaciones,2011-01-01,0.0
Servicios,2011-01-01,60649.82137000002
Transporte,2011-01-01,2233.1652000000004
Viajes,2011-01-01,38417.91522000002
Comunicaciones,2011-01-01,3135.6065000000012
Construcción,2011-01-01,7819.4690100000025
Seguros - Reaseguros,2011-01-01,692.6157900000002
Servicios Financieros - Comisiones,2011-01-01,1211.7097700000002
Servicios de Informática e Información,2011-01-01,560.2955800000002
Regalías y Derechos de Licencia,2011-01-01,8.160410000000002
Servicios Empresariales,2011-01-01,3422.182230000001
Servicios Personales Culturales y Recreativos,2011-01-01,4.377130000000001
Gubernamentales,2011-01-01,2134.6951500000005
Comercio,2011-01-01,1009.6293800000003
RENTA,2011-01-01,9027.858550000003
Remuneración de Empleados,2011-01-01,1215.1935500000002
Retribución de la Inversión,2011-01-01,7812.665000000001
TRANSFERENCIAS CORRIENTES,2011-01-01,190952.36082000006
Donaciones Oficiales,2011-01-01,742.3999600000002
Donaciones Privadas,2011-01-01,12657.865070000003
Remesas Familiares,2011-01-01,177552.09579000005
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2011-01-01,214053.21669000006
Capital Sector Privado,2011-01-01,171723.87534000006
Capital Sector Bancario,2011-01-01,30387.056420000008
Capital Sector Público,2011-01-01,11942.284930000002
DataValue{Union{}}(),2011-01-01,778734.9761900003
EXPORTACIONES,2011-02-01,338954.5043200001
Bienes,2011-02-01,273054.1157500001
Exportación de Mercancias Generales,2011-02-01,75446.28082000003
Procesamiento y Maquilado,2011-02-01,71850.33799000003
Anticipos por Exportación,2011-02-01,125757.49694000004
Reexportaciones,2011-02-01,0.0
Servicios,2011-02-01,65900.38857000002
Transporte,2011-02-01,1944.7697100000003
Viajes,2011-02-01,36885.36827000001
Comunicaciones,2011-02-01,5301.095900000001
Construcción,2011-02-01,9271.279720000002
Seguros - Reaseguros,2011-02-01,1648.6537600000004
Servicios Financieros - Comisiones,2011-02-01,1092.31699
Servicios de Informática e Información,2011-02-01,574.3020300000002
Regalías y Derechos de Licencia,2011-02-01,11.624160000000003
Servicios Empresariales,2011-02-01,4100.3543100000015
Servicios Personales Culturales y Recreativos,2011-02-01,6.838720000000003
Gubernamentales,2011-02-01,4002.624000000001
Comercio,2011-02-01,1061.161
RENTA,2011-02-01,12497.683090000006
Remuneración de Empleados,2011-02-01,1317.6452100000006
Retribución de la Inversión,2011-02-01,11180.037880000005
TRANSFERENCIAS CORRIENTES,2011-02-01,228290.27316000004
Donaciones Oficiales,2011-02-01,669.9327100000002
Donaciones Privadas,2011-02-01,17833.761310000005
Remesas Familiares,2011-02-01,209786.57914000005
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2011-02-01,188611.31993000006
Capital Sector Privado,2011-02-01,134858.35844000004
Capital Sector Bancario,2011-02-01,44912.978830000015
Capital Sector Público,2011-02-01,8839.982660000001
DataValue{Union{}}(),2011-02-01,768353.7805000002
EXPORTACIONES,2011-03-01,361048.37081000005
Bienes,2011-03-01,281982.43189000007
Exportación de Mercancias Generales,2011-03-01,91122.81531000002
Procesamiento y Maquilado,2011-03-01,86814.42761000003
Anticipos por Exportación,2011-03-01,104045.18897000002
Reexportaciones,2011-03-01,0.0
Servicios,2011-03-01,79065.93892
Transporte,2011-03-01,3932.193260000001
Viajes,2011-03-01,42475.000990000015
Comunicaciones,2011-03-01,5994.684780000002
Construcción,2011-03-01,7891.722890000002
Seguros - Reaseguros,2011-03-01,1102.5834600000003
Servicios Financieros - Comisiones,2011-03-01,1313.5765100000006
Servicios de Informática e Información,2011-03-01,940.8951800000003
Regalías y Derechos de Licencia,2011-03-01,7.348040000000002
Servicios Empresariales,2011-03-01,7060.743000000001
Servicios Personales Culturales y Recreativos,2011-03-01,7.085740000000002
Gubernamentales,2011-03-01,5104.5476100000005
Comercio,2011-03-01,3235.557460000001
RENTA,2011-03-01,15093.032250000006
Remuneración de Empleados,2011-03-01,2960.004120000001
Retribución de la Inversión,2011-03-01,12133.028130000004
TRANSFERENCIAS CORRIENTES,2011-03-01,276172.47903000005
Donaciones Oficiales,2011-03-01,302.3301800000001
Donaciones Privadas,2011-03-01,19934.926610000006
Remesas Familiares,2011-03-01,255935.22224000006
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2011-03-01,181850.97676000008
Capital Sector Privado,2011-03-01,129748.00025000004
Capital Sector Bancario,2011-03-01,21800.255690000005
Capital Sector Público,2011-03-01,30302.72082000001
DataValue{Union{}}(),2011-03-01,834164.8588500002
EXPORTACIONES,2011-04-01,307777.86390000005
Bienes,2011-04-01,235130.81305000006
Exportación de Mercancias Generales,2011-04-01,72586.49295000003
Procesamiento y Maquilado,2011-04-01,78679.54073000002
Anticipos por Exportación,2011-04-01,83864.77937000002
Reexportaciones,2011-04-01,0.0
Servicios,2011-04-01,72647.05085000001
Transporte,2011-04-01,4004.0436200000013
Viajes,2011-04-01,35331.300530000015
Comunicaciones,2011-04-01,6218.727180000001
Construcción,2011-04-01,7996.978030000002
Seguros - Reaseguros,2011-04-01,1611.7239300000006
Servicios Financieros - Comisiones,2011-04-01,1354.5363000000002
Servicios de Informática e Información,2011-04-01,720.6672100000001
Regalías y Derechos de Licencia,2011-04-01,1.5300000000000002
Servicios Empresariales,2011-04-01,8579.593260000003
Servicios Personales Culturales y Recreativos,2011-04-01,576.5577600000004
Gubernamentales,2011-04-01,2907.8560300000013
Comercio,2011-04-01,3343.5370000000003
RENTA,2011-04-01,12071.384860000004
Remuneración de Empleados,2011-04-01,1646.7948900000004
Retribución de la Inversión,2011-04-01,10424.589970000003
TRANSFERENCIAS CORRIENTES,2011-04-01,248461.94100000005
Donaciones Oficiales,2011-04-01,382.57186000000013
Donaciones Privadas,2011-04-01,13163.161090000003
Remesas Familiares,2011-04-01,234916.20805000004
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2011-04-01,118678.98680000001
Capital Sector Privado,2011-04-01,73874.04802000002
Capital Sector Bancario,2011-04-01,29194.84302
Capital Sector Público,2011-04-01,15610.095760000004
DataValue{Union{}}(),2011-04-01,686990.17656
EXPORTACIONES,2011-05-01,301152.22064000013
Bienes,2011-05-01,223040.0219700001
Exportación de Mercancias Generales,2011-05-01,75616.21133000003
Procesamiento y Maquilado,2011-05-01,84373.76674000002
Anticipos por Exportación,2011-05-01,63050.043900000026
Reexportaciones,2011-05-01,0.0
Servicios,2011-05-01,78112.19867000003
Transporte,2011-05-01,4338.276270000002
Viajes,2011-05-01,38806.19334000001
Comunicaciones,2011-05-01,3305.5141500000013
Construcción,2011-05-01,10989.215270000004
Seguros - Reaseguros,2011-05-01,1850.7516200000005
Servicios Financieros - Comisiones,2011-05-01,675.7836100000002
Servicios de Informática e Información,2011-05-01,1158.1474700000006
Regalías y Derechos de Licencia,2011-05-01,0.1
Servicios Empresariales,2011-05-01,8627.04607
Servicios Personales Culturales y Recreativos,2011-05-01,253.05444000000006
Gubernamentales,2011-05-01,4191.979880000001
Comercio,2011-05-01,3916.136550000001
RENTA,2011-05-01,15905.883840000004
Remuneración de Empleados,2011-05-01,1539.3370200000004
Retribución de la Inversión,2011-05-01,14366.546820000003
TRANSFERENCIAS CORRIENTES,2011-05-01,281798.7142300001
Donaciones Oficiales,2011-05-01,2358.4521000000004
Donaciones Privadas,2011-05-01,17934.947790000006
Remesas Familiares,2011-05-01,261505.3143400001
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2011-05-01,151611.46334000002
Capital Sector Privado,2011-05-01,84276.17634
Capital Sector Bancario,2011-05-01,6037.236570000001
Capital Sector Público,2011-05-01,61298.05043000001
DataValue{Union{}}(),2011-05-01,750468.2820500003
EXPORTACIONES,2011-06-01,354326.0964500001
Bienes,2011-06-01,262971.3448400001
Exportación de Mercancias Generales,2011-06-01,91429.27846000005
Procesamiento y Maquilado,2011-06-01,111929.12218000003
