Concepto,Fechas,Monto
1. BIENES,2001-01-01,80065.5
     EXPORTACIONES DE MERCANCÍAS,2001-01-01,26680.5
     ANTICIPOS POR EXPORTACIONES,2001-01-01,22233.7
     PROCESAMIENTO Y MAQUILADO,2001-01-01,31151.3
2. SERVICIOS,2001-01-01,44836.0
     TRANSPORTE,2001-01-01,595.7
     SEGUROS (PRIMAS E INDEMNIZACIONES),2001-01-01,522.6
     GASTOS DE VIAJERO,2001-01-01,10181.0
     SERVICIOS DEL GOBIERNO,2001-01-01,9077.5
     OTROS SERVICIOS,2001-01-01,24459.2
          FINANCIEROS,2001-01-01,0.0
          EMPRESARIALES Y PROFESIONALES,2001-01-01,0.0
          OTROS,2001-01-01,24459.2
3. RENTA DE LA INVERSIÓN,2001-01-01,6810.7
4. TRANSFERENCIAS,2001-01-01,43289.5
     REMESAS FAMILIARES,2001-01-01,32009.5
     OTRAS,2001-01-01,11280.0
5. MOVIMIENTOS DE CAPITAL,2001-01-01,63271.40000000001
     INVERSIÓN EXTRANJERA,2001-01-01,131.7
          Inversión Directa,2001-01-01,131.7
          Inversión de Cartera,2001-01-01,0.0
     PRÉSTAMOS,2001-01-01,49519.00000000001
           Público,2001-01-01,14732.9
           Privado,2001-01-01,33771.8
           Bancario,2001-01-01,1014.3
     OTRAS ENTRADAS DE CAPITAL,2001-01-01,13620.7
     INVERSIÓN BONOS CADD,2001-01-01,0.0
    TOTAL INGRESOS,2001-01-01,238273.10000000003
1. BIENES,2001-02-01,89704.1
     EXPORTACIONES DE MERCANCÍAS,2001-02-01,29981.7
     ANTICIPOS POR EXPORTACIONES,2001-02-01,23713.2
     PROCESAMIENTO Y MAQUILADO,2001-02-01,36009.2
2. SERVICIOS,2001-02-01,46013.7
     TRANSPORTE,2001-02-01,420.7
     SEGUROS (PRIMAS E INDEMNIZACIONES),2001-02-01,320.8
     GASTOS DE VIAJERO,2001-02-01,9667.4
     SERVICIOS DEL GOBIERNO,2001-02-01,8666.2
     OTROS SERVICIOS,2001-02-01,26938.6
          FINANCIEROS,2001-02-01,0.0
          EMPRESARIALES Y PROFESIONALES,2001-02-01,0.0
          OTROS,2001-02-01,26938.6
3. RENTA DE LA INVERSIÓN,2001-02-01,6757.6
4. TRANSFERENCIAS,2001-02-01,40929.700000000004
     REMESAS FAMILIARES,2001-02-01,33642.4
     OTRAS,2001-02-01,7287.3
5. MOVIMIENTOS DE CAPITAL,2001-02-01,45623.3
     INVERSIÓN EXTRANJERA,2001-02-01,184.0
          Inversión Directa,2001-02-01,184.0
          Inversión de Cartera,2001-02-01,0.0
