Concepto,Fechas,Monto
EXPORTACIONES,2009-01-01,261531.90396000005
Bienes,2009-01-01,205333.33857000005
Exportación de Mercancias Generales,2009-01-01,68429.28890000001
Procesamiento y Maquilado,2009-01-01,57716.19857000001
Anticipos por Exportación,2009-01-01,79187.85110000003
Reexportaciones,2009-01-01,0.0
Servicios,2009-01-01,56198.56539000002
Transporte,2009-01-01,4018.6712800000014
Viajes,2009-01-01,28065.30734000001
Comunicaciones,2009-01-01,2661.0711500000007
Construcción,2009-01-01,10097.550460000002
Seguros - Reaseguros,2009-01-01,341.39535000000006
Servicios Financieros - Comisiones,2009-01-01,1340.2231600000005
Servicios de Informática e Información,2009-01-01,977.7179400000001
Regalías y Derechos de Licencia,2009-01-01,25.703590000000005
Servicios Empresariales,2009-01-01,1595.1588000000004
Servicios Personales Culturales y Recreativos,2009-01-01,9.823810000000002
Gubernamentales,2009-01-01,4691.415490000002
Comercio,2009-01-01,2374.527020000001
RENTA,2009-01-01,8833.582260000003
Remuneración de Empleados,2009-01-01,1155.1477900000002
Retribución de la Inversión,2009-01-01,7678.434470000002
TRANSFERENCIAS CORRIENTES,2009-01-01,201281.46228
Donaciones Oficiales,2009-01-01,1158.1169800000005
Donaciones Privadas,2009-01-01,12708.956030000001
Remesas Familiares,2009-01-01,187414.38927
MOVIMIENTOS DE CAPITAL Y FINANCIEROS,2009-01-01,135661.97071000002
Capital Sector Privado,2009-01-01,101970.12384000001
Capital Sector Bancario,2009-01-01,11304.060900000002
Capital Sector Público,2009-01-01,22387.785970000004
TOTAL INGRESOS,2009-01-01,607308.9192100001
EXPORTACIONES,2009-02-01,227614.56587000008
Bienes,2009-02-01,164915.77025000006
Exportación de Mercancias Generales,2009-02-01,52270.89807000002
Procesamiento y Maquilado,2009-02-01,57379.53952000002
Anticipos por Exportación,2009-02-01,55265.332660000015
Reexportaciones,2009-02-01,0.0
Servicios,2009-02-01,62698.795620000026
Transporte,2009-02-01,5551.619350000001
Viajes,2009-02-01,30295.473320000012
Comunicaciones,2009-02-01,5212.99828
Construcción,2009-02-01,10154.626310000005
Seguros - Reaseguros,2009-02-01,468.07964000000004
Servicios Financieros - Comisiones,2009-02-01,956.9150500000003
Servicios de Informática e Información,2009-02-01,1026.2614700000004
Regalías y Derechos de Licencia,2009-02-01,0.36
Servicios Empresariales,2009-02-01,2081.927100000001
Servicios Personales Culturales y Recreativos,2009-02-01,79.98278000000002
